tag,site,header,date,views,link,text
none-core,conslutant,Президент расширил категории учащихся для отсрочки от мобилизации,2022-10-06 00:00:00,,https://www.consultant.ru/legalnews/20520/,"
 
Отсрочку от призыва по мобилизации предоставили гражданам, которые получают образование соответствующего уровня впервые по очной или очно-заочной форме. Они должны обучаться:в образовательных и научных организациях по аккредитованным программам среднего профессионального и высшего образования (в т.ч. ординатуры и ассистентуры-стажировки);образовательных и научных организациях по программам подготовки научных и научно-педагогических кадров в аспирантуре;организациях, которые ведут образовательную деятельность по программам среднего профессионального и высшего образования (в т.ч. подготовки научных и научно-педагогических кадров в аспирантуре, ординатуры и ассистентуры-стажировки) на территориях инновационных научно­технологических центров;духовных образовательных организациях по программам подготовки служителей и религиозного персонала религиозных организаций, программам среднего профессионального и высшего образования.Ранее на отсрочку не могли претендовать, например, студенты негосударственных организаций и аспиранты.Документ распространили на правоотношения, которые возникли с 21 сентября. 

Документ:Указ Президента РФ от 05.10.2022 N 712Полезная ссылка:Указ Президента РФ от 24.09.2022 N 664
""О предоставлении отсрочки от призыва на военную службу по мобилизации"" 
"
none-core,conslutant,Разъяснили особенности учета занятости добровольцев и мобилизованных работников,2022-10-06 00:00:00,,https://www.consultant.ru/legalnews/20519/,"
 
Росстат указал, что мобилизованных и добровольно оказывающих содействие ВС РФ сотрудников на период прохождения военной службы или действия контракта включают в списочную численность персонала как целые единицы. В среднесписочную численность они не входят.В отчет П-4 (НЗ) ""Сведения о неполной занятости и движении работников"" таких сотрудников вносят в численность работников списочного состава на конец отчетного квартала (строка 11) и не включают в выбывших (строка 07).В П-4 ""Сведения о численности и заработной плате работников"" мобилизованных и добровольцев в среднесписочной численности (графа 2) не отражают. Начисленные им после приостановления трудового договора выплаты, которые учитывают в фонде зарплаты и указывают, например, в формах П-1 и П-2, следует представить в графе 10.Сведения о тех, кого приняли по срочному трудовому договору на место мобилизованных либо добровольно оказывающих содействие ВС РФ работников, включают как в списочную, так и в среднесписочную численность, а их выплаты — в фонд зарплаты работников списочного состава. 

Документ:Информация Росстата от 05.10.2022Полезные ссылки:Приказ Росстата от 24.07.2020 N 411
(ред. от 17.12.2021)
""Об утверждении форм федерального статистического ...Приказ Росстата от 30.07.2021 N 457
(ред. от 17.12.2021)
""Об утверждении форм федерального статистического ...Приказ Росстата от 30.07.2021 N 464
(ред. от 17.12.2021)
""Об утверждении форм федерального статистического ... 
"
none-core,conslutant,В окончательном чтении приняли поправки об ипотечных ценных бумагах,2022-10-06 00:00:00,,https://www.consultant.ru/legalnews/20515/,"
 
Предлагают размещать деньги в составе ипотечного покрытия облигаций, которые эмитирует ипотечный агент, на открытых ему залоговых счетах. Реквизиты укажут в решении о выпуске ценных бумаг. Зачислять иные суммы на эти счета хотят запретить (абз. 2 пп. ""в"" п. 7 ст. 1 проекта).По проекту залогодержателями прав по договору залогового счета станут владельцы облигаций с ипотечным покрытием. Списывать деньги с таких счетов разрешат только по распоряжению эмитента с согласия специализированного депозитария. Название последнего укажут в договоре. Депозитарий сможет получать информацию о счете: об остатке средств, операциях, ограничениях и т.д. (абз. 3, 4 пп. ""в"" п. 7 ст. 1 проекта).Эмитенту позволят использовать деньги со счета только на ряд целей: исполнить обязательства по облигациям, выплатить вознаграждение депозитарию и др. (абз. 5 пп. ""в"" п. 7 ст. 1 проекта).Уточнят, как открывать залоговый счет и менять его реквизиты (п. 9 ст. 1 проекта).Списания с такого счета нельзя будет оспаривать как сделки с предпочтением при банкротстве кредитной организации. Речь идет, в частности, о выплатах для досрочного погашения облигаций в соответствии с решением об их выпуске (п. 2 ст. 4 проекта).В проекте есть и другие изменения. Планируют, что большинство поправок заработает через 180 дней после их опубликования в качестве закона (п. 1 ст. 6 проекта). 

Документ:Проект Федерального закона N 1262116-7Полезные ссылки:Федеральный закон от 11.11.2003 N 152-ФЗ
(ред. от 26.03.2022)
""Об ипотечных ценных бумагах""Федеральный закон от 26.10.2002 N 127-ФЗ
(ред. от 28.06.2022, с изм. от 21.07.2022)
""О несостоятельности ... 
"
none-core,conslutant,Стали известны возможные коэффициенты-дефляторы на 2023 год,2022-10-06 00:00:00,,https://www.consultant.ru/legalnews/20507/,"
 
Минэкономразвития выставило на общественное обсуждение проект с такими коэффициентами-дефляторами на следующий год:1,257 — для УСН;2,270 — для НДФЛ;1,215 — для налога на дополнительный доход от добычи углеводородного сырья;1,729 — для торгового сбора.Таким образом, если документ примут, то, например, сохранить право применять УСН получится, если доходы в 2023 году будут не больше 251,4 млн руб. 

Документ:Проект приказа МинэкономразвитияРекомендуем:Какие условия нужно соблюсти для перехода на УСН и ее примененияПолезная ссылка:""Налоговый кодекс Российской Федерации (часть вторая)"" от 05.08.2000 N 117-ФЗ
(ред. от 14.07.2022)
(с ... 
"
none-core,conslutant,Подготовили поправки к перечням КБК на 2022 год и плановый период,2022-10-06 00:00:00,,https://www.consultant.ru/legalnews/20512/,"

Проект проходит общественное обсуждение до 17 октября включительно.В списки кодов доходов бюджетов и целевых статей расходов федерального бюджета внесут коды по ряду межбюджетных трансфертов, иным затратам. Например, добавят КБК для трансфертов на выплаты поощрения победителям конкурса ""Лучший казачий кадетский корпус"".Уточнят назначение нескольких действующих кодов. 

Документ:Проект приказа Минфина РоссииПолезная ссылка:Приказ Минфина России от 08.06.2021 N 75н
(ред. от 11.07.2022)
""Об утверждении кодов (перечней кодов) ... 
"
none-core,conslutant,Планируют смягчить требования к энергоэффективности телевизоров при госзакупках,2022-10-06 00:00:00,,https://www.consultant.ru/legalnews/20513/,"

Предложили при приобретении телевизоров с кодом ОКПД2 26.40.20 не применять требование о наличии класса энергоэффективности не ниже первых 2 наивысших.В приказе Минэкономразвития о таких требованиях, в том числе для телевизоров, планируют заменить класс энергоэффективности этих товаров с ""А++"" и выше на ""А"" и выше.Проекты проходят общественное обсуждение. 

Документы:Проект постановления Правительства РФПроект приказа Минэкономразвития РФПолезные ссылки:Постановление Правительства РФ от 31.12.2009 N 1221
(ред. от 21.04.2018)
""Об утверждении Правил установления ...Приказ Минэкономразвития России от 22.03.2021 N 131
""О требованиях энергетической эффективности в отношении ...""ОК 034-2014 (КПЕС 2008). Общероссийский классификатор продукции по видам экономической деятельности""
(утв ... 
"
none-core,conslutant,Расходы на содержание простаивающего здания за счет ОМС суд признал нецелевыми,2022-10-05 00:00:00,,https://www.consultant.ru/legalnews/20518/,"
 
Медорганизация оплачивала из средств ОМС услуги по охране недостроенного объекта. Контролеры и суд напомнили: по правилам ОМС затраты на содержание недвижимости относят к необходимым, только если ее используют при оказании медпомощи.В июне мы рассказывали об аналогичном решении 17-го ААС, а в сентябре — о том, что суды не разрешили оплачивать за счет ОМС инвестиционные расходы. 

Документ:Постановление 8-го ААС от 21.07.2022 по делу N А70-1387/2022Полезная ссылка:Приказ Минздрава России от 28.02.2019 N 108н
(ред. от 21.02.2022)
""Об утверждении Правил обязательного ... 
"
none-core,conslutant,"Запустили цифровую экосистему нацпроекта ""Производительность труда""",2022-10-05 00:00:00,,https://www.consultant.ru/legalnews/20517/,"
 
Правительство сообщило, что платформа ""Эффективность.рф"" позволяет начать цифровизацию предприятия без найма дорогостоящих специалистов и создания собственных вычислительных мощностей.На сайте можно пройти анкетирование и проконсультироваться с экспертом. Это поможет определить уровень ""цифровой зрелости"" среди конкурентов отрасли со схожим оборотом и численностью сотрудников. Услугу предоставляют бесплатно.Кроме того, эксперты помогут оформить закупку ПО и заявку на софинансирование, субсидию или грант.Экосистема доступна для предприятий с оборотом более 400 млн руб. из отраслей торговли, строительства, сельского хозяйства, транспортной сферы и обрабатывающей промышленности. Доля иностранного участия не должна превышать 50%. 

Документ:Информация с сайта Правительства РФ от 05.10.2022 
"
none-core,conslutant,Изменили правила отчетности о дополнительном образовании медиков и обновлении оборудования,2022-10-05 00:00:00,,https://www.consultant.ru/legalnews/20516/,"
 
ФФОМС утвердил новый порядок отчетности об использовании средств нормированного страхового запаса. Изменили и форму отчетности. Приказ вступит в силу 15 октября и заменит действующий.Медорганизации будут направлять отчеты через ГИС ОМС ежеквартально до 15-го, а не до 5-го числа месяца, следующего за отчетным периодом. Для этого нужна усиленная квалифицированная ЭП.В новой форме придется отражать больше сведений о мероприятиях по повышению квалификации сотрудников, о покупке и ремонте медоборудования за счет ОМС. В частности, нужно вносить информацию:о заключенных договорах, их расторжении;специальности подготовки специалиста;отказе в приемке товаров, работ, услуг;исключении мероприятий из плана.В разделе о дополнительном образовании больше не надо указывать число медработников (кого планировали направить на обучение и кто его прошел).Из отчетности исключили таблицу 2 для сведений об использовании предоставленных средств. 

Документ:Приказ ФФОМС от 05.09.2022 N 108нПолезная ссылка:Приказ ФФОМС от 26.05.2016 N 105
""Об утверждении порядка и форм представления отчетности о реализации ... 
"
none-core,conslutant,"Ошибки в данных физлиц — недостоверные сведения, за которые штрафуют, подтвердил суд",2022-10-05 00:00:00,,https://www.consultant.ru/legalnews/20506/,"
 
Организация представила в инспекцию справки 2-НДФЛ. Налоговики обнаружили в них ошибки: не было ИНН налогоплательщиков, даты рождения указали как 01.01.1900. Организацию оштрафовали. Она обратилась в суд.Арбитры поддержали контролеров:любые сведения в справках, которые не соответствуют действительности, можно отнести к недостоверным. Дело в том, что в НК РФ нет определения недостоверных сведений;из-за таких ошибок может оказаться невозможно реализовать права физлиц, а также права и обязанности налоговиков;организация обязана представлять достоверные данные о своих акционерах и актуализировать их;для привлечения к ответственности необязательно, чтобы из-за недостоверных сведений наступили неблагоприятные последствия. Ведь представление таких сведений дезорганизует правопорядок, делает невозможным полноценный контроль.Отметим, ФНС разъясняла, что ошибки в ИНН физлица, дате рождения приводят к штрафу за недостоверные сведения. 

Документ:Постановление АС Северо-Кавказского округа от 07.09.2022 по делу N А63-15794/2021Рекомендуем:Какой штраф назначают за ошибки в 6-НДФЛ (для коммерческих организаций)Какой штраф назначают за ошибки в 6-НДФЛ (для учреждений)Полезные ссылки:Письмо ФНС России от 09.08.2016 N ГД-4-11/14515
""О налоговой ответственности налоговых агентов""""Налоговый кодекс Российской Федерации (часть первая)"" от 31.07.1998 N 146-ФЗ
(ред. от 28.06.2022)
(с ... 
"
