tag,site,header,date,views,link,text
accountant,ria,"В Японии заявили о важности проекта ""Сахалин-1"" ",2022-10-09,20205,https://ria.ru/20221009/neft-1822556516.html,"ТОКИО, 9 окт – РИА Новости. Япония по-прежнему считает российский проект ""Сахалин-1"" важным с точки зрения стабильных поставок нефти, заявил в эфире телеканала NHK глава министерства экономики, торговли и промышленности страны Ясутоси Нисимура.Нисимура также подчеркнул, что ""в настоящее время объемы импорта нефти с проекта ""Сахалин-1"" на нуле"". ""В общем, это является важным проектом с точки зрения диверсификации импорта нефти. Поэтому мы бы хотели прояснить намерения российской стороны и принять решение по конкретным дальнейшим действиям с учетом тесных консультаций с вовлеченным сторонами"", - добавил при этом министр.Президент России Владимир Путин своим указом в пятницу распорядился о создании нового — российского — оператора проекта ""Сахалин-1"", которому перейдут права и обязанности Exxon Neftegaz limited. Управлять новым оператором будет структура ""Роснефти"" ""Сахалинморнефтегаз-Шельф"", как минимум пока все доли участия в операторе не будут распределены, после чего полномочия структуры могут быть продлены.Нынешний оператор проекта ""Сахалин-1"" Exxon Neftegaz Limited (""дочка"" ExxonMobil) владеет его долей в 30%. В марте компания заявила о намерении выйти из проекта, а в апреле — о введении режима форс-мажора, в результате чего работа проекта почти встала. На данный момент добыча газа и нефти полностью остановлена. "
accountant,ria,"Аналитик раскрыл, что и когда обвалит рубль ",2022-10-09,20775,https://ria.ru/20221009/rubl-1822551353.html,"МОСКВА, 9 окт – РИА Новости. Сильнее всего рубль может просесть к доллару и евро, если нерезиденты получат разрешение на продажу российских активов, конвертацию выручки в валюту и вывоз ее за границу. Если этот сценарий не реализуется, к концу текущего года доллар будет стоить около 69 рублей, а по итогам 2023-го - порядка 75 рублей, рассказал агентству “Прайм” ведущий аналитик отдела глобальных исследований “Открытие Инвестиции” Олег Сыроваткин.Если Запад все же решит включить в санкционный пакет ограничения на деятельность НКЦ, российская валюта тоже просядет. “Вполне возможно, что санкции против НКЦ пока не вводятся из-за того, что некоторые страны Запада продолжают зависеть от импорта российских товаров (те же удобрения). Однако никто не может гарантировать того, что НКЦ не попадет под санкции, например, в следующем году”, - полагает он.В целом же динамика валютных курсов определяется спросом и предложением. Пока приток валюты на Мосбиржу позволяет удовлетворить спрос на нее, но в перспективе выручка экспортеров может значительно сократиться. Это снизит предложение, при этом спрос вырастет на фоне возобновления импорта. Но и в этом случае оснований прогнозировать курс 100 рублей за доллар нет, заверил Сыроваткин."
accountant,ria,День работника сельского хозяйства и перерабатывающей промышленности в РФ ,2022-10-09,328,https://ria.ru/20221009/selkhozpromyshlennost-1822198233.html,"День работника сельского хозяйства и перерабатывающей промышленности в РФ, ежегодно отмечаемый во второе воскресенье октября, установлен указом президента РФ от 31 мая 1999 года. В 2022 году дата приходится на 9 октября. Первоначально праздник был установлен указом Президиума Верховного Совета СССР от 26 августа 1966 года. Он назывался ""Всесоюзным днем работников сельского хозяйства"" и также отмечался во второе воскресенье октября. ""День работников пищевой промышленности"", установленный указом Президиума Верховного Совета СССР от 30 августа 1966 года, праздновался в третье воскресенье октября. В 1986 году эти два праздника были объединены в единый – ""День работников сельского хозяйства и перерабатывающей промышленности агропромышленного комплекса"", который стал отмечаться в третье воскресенье ноября. В 1988 году его объединили с ""Днем мелиоратора"" в единый праздник с названием ""День работников сельского хозяйства и перерабатывающей промышленности"", который отмечали также в третье воскресенье ноября. В 1999 году дату празднования перенесли на второе воскресенье октября, и в названии заменили слово ""работников"" на ""работника"". Россия располагает значительной долей сельскохозяйственных угодий планеты – 4,5%. В стране, как и во всем мире, аграрное производство является крупнейшей жизнеобеспечивающей сферой народнохозяйственного комплекса. Его состояние и экономическая эффективность функционирования оказывают решающее влияние на уровень продовольственного обеспечения и благосостояния народа. Агропромышленный комплекс (АПК) в значительной мере определяет состояние всей экономики страны, поскольку он тесно взаимодействует с другими отраслями народного хозяйства. Проводимые в стране, с начала 1990-х годов, без предварительной научной проработки аграрные преобразования, сводимые, в основном, к нерегулируемой либерализации рынка, повлекли за собой развал материально-технической базы АПК и системных технологий ведения производства, их примитивизацию, поставили под угрозу существование основного, невозобновляемого средства производства – земли, без чего функционирование этой отрасли вообще невозможно. Производство продукции агропромышленного комплекса сократилось почти вдвое, а в структурообразующей отрасли – сельском хозяйстве – на 40%, что ограничило возможности страны обеспечить население продовольствием собственного производства. С 1999 года начался экономический рост в сельском хозяйстве, который продолжался до 2006 года. За это время объем производства продукции сельского хозяйства увеличился на 34,4%. Но с 2002 года наметилась тенденция снижения темпов развития сельского хозяйства, их отставания от темпов развития экономики в целом. Замедление экономического роста в сельском хозяйстве, отсутствие условий для альтернативной занятости на селе, исторически сложившийся низкий уровень развития социальной и инженерной инфраструктуры обусловили обострение социальных проблем села. Для преодоления кризисных явлений и вывода агропромышленного комплекса на устойчивое развитие в 2006 году был принят Федеральный закон ""О развитии сельского хозяйства"". Во исполнение этого закона была принята в 2007 году ""Государственная программа развития сельского хозяйства и регулирования аграрных рынков сельскохозяйственной продукции, сырья и продовольствия"" на 2008-2012 годы, в 2012 году – госпрограмма на 2013-2020 годы, а в 2019 году – госпрограмма на 2013-2025 годы.Государственные меры, направленные на стимулирование сельского хозяйства, доказали свою эффективность. Отрасль стала демонстрировать рост, активно начали развиваться различные формы сельскохозяйственной деятельности: не только крупные предприятия, но и небольшие крестьянские фермерские хозяйства. Сегодня сельское хозяйство, в целом агропромышленный комплекс – одна из самых динамичных отраслей российской экономики. Россия не только практически полностью обеспечивает себя по всем основным видам продовольственных товаров, но и ежегодно увеличивает поставки за рубеж, осваивает глобальные рынки. Страна стала ведущей зерновой державой и занимает лидирующие позиции в мире по экспорту пшеницы. Такая же позитивная тенденция и в животноводстве, где год за годом увеличиваются объемы производства мясных, молочных продуктов. Перспективы быстрого роста демонстрируют виноградарство, садоводство, производство органической продукции. Агропромышленный комплекс, сохраняя верность лучшим отечественным традициям, активно внедряет передовые технологии. По словам заместителя председателя правительства Виктории Абрамченко, несмотря на то, что на протяжении 2020 и 2021 года мировая экономика испытывала большое давление, связанное с распространением коронавирусной инфекции, несмотря на неблагоприятные погодные условия, российский агропромышленный комплекс продолжал оставаться одним из ключевых драйверов развития российской экономики. Индекс производства продукции сельского хозяйства (в сопоставимых ценах) в хозяйствах всех категорий в 2021 году составил 99,1% к уровню 2020 года, к уровню 2017 года – 104,6% (в 2020 году –105,5% к уровню 2017 года). Снижение в 2021 году связано в основном с уменьшением объемов производства растениеводческой продукции в связи с неблагоприятными погодными условиями, а также с замедлением темпов роста продукции животноводства, обусловленными неблагоприятной эпизоотической ситуацией в начале 2021 года.Индекс производства продукции растениеводства в хозяйствах всех категорий составил 98,6% к уровню 2020 года, к уровню 2017 года – 104,2%. Валовый сбор зерна составил 121,4 миллиона тонн, что на 9% ниже уровня 2020 года. Из них 75,9 миллиона тонн пшеницы в чистом весе, что на 11,6% ниже, чем производство 2020 года. Валовой сбор основных масличных культур (подсолнечник, соя, рапс) впервые составил 23,1 миллиона тонн, что на 14,3% больше производства в 2020 году (20,2 миллиона тонн). Также собран рекордный валовой сбор рапса – 2,8 миллиона тонн в чистом весе, что на 8,5% больше, чем в 2020 году (2,6 миллиона тонн), подсолнечника – 15,5 миллиона тонн в весе после доработки (в 2020 году – 13,3 миллиона тонн). Валовой сбор плодов и ягод во всех категориях хозяйств составил 3,9 миллиона тонн, что на 7% выше, чем в 2021 году.Индекс производства продукции животноводства в 2021 году составил 99,8% к 2020 году, к уровню 2017 года –104,8%. Производство скота и птицы на убой (в живом весе) в хозяйствах всех категорий составило 15,68 миллиона тонн, что на 0,3% больше уровня 2020 года. Производство молока в хозяйствах всех категорий в 2021 году увеличилось на 0,2% (+63,1 тысячи тонн) к уровню 2020 года и составило 32 288,6 тысячи тонн. Полученный урожай позволил обеспечить большую часть внутренних потребностей страны в продовольствии (по зерну – 150,7%, по сахару – 100,0%, по растительному маслу – 176,6%, по мясу и мясопродуктам – 100,2%, по рыбе и рыбопродуктам – 153,2%), увеличить экспортный потенциал, а также внести существенный вклад в обеспечение продовольственной независимости страны. Развитие аграрного производства вдохнуло новую жизнь и в сельские территории: доходы от продажи сельхозпродукции возвращаются на село и стимулируют развитие сельских поселений. По всей стране для сельских жителей строятся новые школы и детские сады, медицинские пункты и дома культуры, обновляется жилой фонд, инженерная и транспортная инфраструктура, создаются рабочие места. В результате преображается российское село, которое становится все более комфортным и привлекательным местом для жизни. Материал подготовлен на основе информации РИА Новости и открытых источников"
accountant,ria,Путин призвал усиливать технологический суверенитет в сельском хозяйстве ,2022-10-09,5938,https://ria.ru/20221009/suverenitet-1822550883.html,"МОСКВА, 9 окт - РИА Новости. России в условиях беспрецедентного санкционного давления нужно повышать уровень технологического суверенитета в агропромышленном комплексе, а значит наращивать возможности в селекции и генетике, заявил президент РФ Владимир Путин в поздравлении с Днем работника сельского хозяйства.Президент напомнил, что в сентябре правительство утвердило обновленную стратегию развития АПК. Среди ее ключевых приоритетов – повышение качества жизни на селе.""А это строительство новых современных домов, дальнейшее развитие программы ""Сельская ипотека"", это модернизация социальной, инженерной, транспортной инфраструктуры и комплексное благоустройство сельских территорий. Словом, все то, что важно для людей"", - добавил Путин.Он поблагодарил представителей отрасли за профессионализм, ответственность, рачительный подход и стремление возрождать лучшие аграрные традиции."
accountant,ria,Путин заявил о готовности помогать с продовольствием бедным странам ,2022-10-09,13224,https://ria.ru/20221009/putin-1822550412.html,"МОСКВА, 9 окт - РИА Новости. Россия успешно решает вопросы продовольственной безопасности и готова вносить свой вклад в решение глобальных продовольственных проблем, помогать беднейшим, развивающимся странам, заявил президент Владимир Путин в поздравлении работникам сельского хозяйства с профессиональным праздником.Как отметил глава государства, агропромышленный комплекс — один из ключевых секторов российской экономики, год за годом демонстрирует убедительный и достойный результат.""Так, в этом году ожидается рекордный урожай зерновых – порядка 150 миллионов тонн, в том числе около 100 миллионов тонн пшеницы. Еще сравнительно недавно такие цифры казались труднодостижимыми. Хорошие показатели и по другим культурам, таким как сахарная свекла, соя, подсолнечник"", - сказал он.Объемы животноводческой продукции также растут, добавил Путин. Сельхозпроизводители, отметил он, полностью обеспечивают внутренний рынок самыми необходимыми видами продуктов. Успешно решаются вопросы продовольственной безопасности и растут экспортные возможности.Путин поблагодарил работников и ветеранов отрасли за работу, пожелав им благополучия.В Стамбуле 22 июля были подписаны два взаимосвязанных документа по решению проблем поставок продовольствия и удобрений на мировые рынки. Документы представляют собой единый пакет. Первый - меморандум - предполагает обязательства ООН снять различные ограничения на экспорт российской сельхозпродукции и удобрений на мировые рынки. Второй определяет алгоритм вывоза украинской сельхозпродукции из черноморских портов, подконтрольных Украине. Однако, как указывает Москва, в части экспорта из РФ сделка пока не работает.Путин ранее назвал уродливым решение Евросоюза снять ограничения на поставки российских зерна и удобрений только для европейских стран. По его словам, Россия продаст свое зерно, несмотря на ограничения, но хочет, чтобы оно дошло до беднейших стран. Путин неоднократно заявлял, что зерно поставляется не в те страны, о которых ранее шла речь."
accountant,ria,Bloomberg: Запад на пороге худшего с 1949 года кризиса ,2022-09-25 00:00:00,35670,https://ria.ru/20220925/krizis-1819394626.html,"МОСКВА, 25 сен — РИА Новости. Центральные банки западных стран в попытках остановить высокие темпы инфляции повышают процентные ставки, чем вызывают обвал государственных облигаций, пишет Bloomberg.""Рынки суверенных облигаций по всему миру на пороге худших показателей с 1949 года, тогда Европа в руинах восстанавливалась после Второй мировой войны"", — утверждают эксперты из Bank of America.Федеральная резервная система (ФРС) США и другие западные центральные банки перестали удерживать базовую процентную ставку около нуля для поддержки экономики, как они это делали во время пандемии. Именно этот разворот оказал серьезное влияние, считает Bloomberg.В материале отмечается, что последним серьезным ударом для мировой экономики стало объявленное на этой неделе решение американского регулятора повысить базовую процентную ставку.В среду ФРС США по итогам сентябрьского заседания повысила базовую процентную ставку на 75 базисных пунктов — до уровня 3-3,25% годовых. С мая этого года регулятор трижды повышал ставку в попытках сдержать растущую инфляцию.США и европейские государства столкнулись с рекордной за десятилетия инфляцией. Введение санкций против Москвы и курс на отказ от российского топлива привели  к подорожанию горючего, прежде всего газа. В результате промышленность на Западе во многом лишилась конкурентных преимуществ, что повлияло и на другие сферы экономики."
accountant,ria,В Болгарии призвали к тщательному анализу новых санкций ЕС против России ,2022-09-25 00:00:00,7098,https://ria.ru/20220925/sanktsii-1819386206.html,"МОСКВА, 25 сен - РИА Новости. Болгария хочет, чтобы новые санкции ЕС в отношении РФ подверглись тщательному анализу, сообщает радиостанция BNR со ссылкой на временного премьер-министра Гылыба Донева.""Болгария поддерживает продолжение введения санкций ЕС против России. Однако Болгария будет настаивать на том, чтобы все санкции, которые ЕС еще предстоит обсудить, проходили подробный анализ, чтобы увидеть все (их) достоинства и недостатки"", - говорится в сообщении радиостанции."
accountant,ria,Херсонская область полностью обеспечена российским газом ,2022-09-25 00:00:00,3078,https://ria.ru/20220925/gaz-1819317478.html,"ХЕРСОН, 25 сен - РИА Новости. Херсонская область полностью обеспечена российским газом в 5 раз дешевле украинского, заявил журналистам в воскресенье глава администрации Херсонской области Владимир Сальдо.""Все, что связано с подготовкой к осенне-зимнему периоду, проводится в штатном режиме. То количество газа, которое нам нужно на всю область, чтобы обеспечить работу и котельных, и бытовой сектор, мы будем получать теперь из России, потому что, как ни старалась украинская власть... отключить возможность получения газа со стороны Украины, но нам не нужен их газ, у нас теперь есть свой российский, объемы достаточные чтобы все предприятия работали и тоже самое... будет газ, и самое главное, что этот газ в пять раз дешевле, чем украинский"", - сказал Сальдо.Херсонская область стала получать газоснабжение из Крыма и стала полностью независима от газа, поступающего с территории Украины.Сегодня поставка газа в Херсонскую область с территории, контролируемой киевским режимом, из Николаева, полностью остановлена, газ в Херсонскую область поступает с территории России, с Крымского полуострова.Вентиль газовой трубы, по которой осуществлялась поставка газа с подконтрольной Украине территории Николаевской области, полностью закрыт, чтобы избежать обратного тока газа под давлением на подконтрольные Украине территории.В 2014 году украинские власти перекрыли поставки газа в Херсонскую область из Крыма, и до сегодняшнего дня Херсонская область получала газоснабжение из Николаева. В последнее время газа поступало недостаточно, давление в трубе упало из-за действий властей Украины. После освобождения Херсонской области было принято решение возобновить поставки из России, из Крыма."
accountant,ria,"Немцы ""потеряли дар речи"" после обращения Шольца к нации ",2022-09-25 00:00:00,226305,https://ria.ru/20220925/sholts-1819300345.html,"МОСКВА, 25 сен — РИА Новости. Читатели немецкой газеты Die Welt активно обсуждают еженедельное видеообращение канцлера Олафа Шольца, в котором он заявил, что цены на энергоносители должны снизиться.""Тот же самый человек, который поднял цены на энергоносители благодаря своей энергетической политике, теперь требует более низких цен? После таких заявлений можно потерять дар речи!"" — написал один из комментаторов. ""Всего год этому правительству, и мы на пути к бедности. Целые концепции жизни <…> рассыпаются в пыль. Для чего и для кого?"" — поддержал другой. ""Он вопит во весь голос против последствий своей собственной политики"", — отметил третий. ""Я больше не могу его видеть"", — возмутился пользователь. ""Бедняга забыл, что виноват он и его политика"", — заявил юзер. ""Сначала взвинтил цены бесполезными санкциями, а теперь требует, чтобы они снизились"", — заключили читатели.После начала российской спецоперации по демилитаризации и денацификации Украины Запад усилил санкционное давление на Москву: заморожены российские активы на сотни миллиардов долларов, Евросоюз принял уже семь пакетов ограничительных мер, включая эмбарго на уголь и нефть.В Кремле эти меры назвали экономической войной. Как отмечал Владимир Путин, политика сдерживания и ослабления России — это долгосрочная стратегия Запада, но санкции нанесли серьезный удар по всей мировой экономике. Население европейских стран уже столкнулось со значительным подорожанием продуктов, топлива и электроэнергии, а власти вынуждены вводить меры экономии из-за энергокризиса."
accountant,ria,"Непал заинтересован в закупке удобрений у России, заявил посол ",2022-09-25 00:00:00,822,https://ria.ru/20220925/udobreniya-1819286536.html,"МОСКВА, 25 сен - РИА Новости. Непал заинтересован в закупке российских удобрений, хотел бы поставлять больше чая, заявил РИА Новости посол Непала в России Милан Радж Туладхар.При этом дипломат отметил, что если непальская сторона получит удобрения из России, ""это было бы большой поддержкой"". ""Точно также мы можем увеличить экспорт чая в Россию, потому что россияне тоже любят чай"", - добавил он.Милан Радж Туладхар подчеркнул, что в тех продуктах, где есть возможность наращивать сотрудничество, нужно увеличить товарооборот.Читайте полный текст интервью Милана Раджа Туладхара >>"
