tag,site,header,date,views,link,text
none-core,ria,Спикер парламента Зимбабве заявил о намерении развивать отношения с Россией ,2022-10-09,4,https://ria.ru/20221009/zimbabve-1822572014.html,"МОСКВА, 9 окт - РИА Новости. Зимбабве настроено развивать всесторонние отношения с Россией, это подтверждается на высшем уровне, заявил в интервью РИА Новости спикер нацсобрания парламента республики Джейкоб Муденда.""С того момента, как он занял свой пост, президент (Зимбабве - ред.) заявлял, что отношения между Россией и Зимбабве должны укрепляться. И он подтвердил это, когда посетил российско-африканский саммит в 2019 году. Есть несколько факторов, которые объединяют нас, помимо того, что мы являемся жертвами санкций: это сотрудничество в экономической и политической сферах, взаимодействие между людьми – гуманитарные обмены и контакты"",- сказал Муденда.""Есть надежда, что двусторонние отношения будут развиваться, на что с нашей стороны есть политический настрой на высшем уровне"", - отметил он."
none-core,ria,В Ереване два человека пострадали при взрыве ,2022-10-09,473,https://ria.ru/20221009/erevan-1822571213.html,"ЕРЕВАН, 9 окт – РИА Новости. Два человека доставлены в ожоговый центр после взрыва в хостеле в Ереване, сообщили в пресс-службе МЧС Армении.Ранее в ведомстве заявили, что в воскресенье, в 8.15 мск, поступила информация о взрыве на проспекте Багратуняц в Ереване.""Выяснилось, что взрыв произошел в ереванском хостеле по адресу Багратуняц 2/8. Двое пострадавших доставлены в национальный ожоговый центр"", - говорится в сообщении на сайте МЧС."
none-core,ria,"NYT объяснил, как Запад насмешил Путина ",2022-10-09,4656,https://ria.ru/20221009/zapad-1822570479.html,"МОСКВА, 9 окт - РИА Новости. США и европейские страны ""своей экологической показухой"" вызывают смех, пишет The New York Times.""В Европе притворялись, что смогут избавиться от масштабных выбросов и напрямую перепрыгнуть к возобновляемой энергетике, и все при этом будет в шоколаде. Боже мой. Немцы так собой гордились, не осознавая, что единственная причина, по которой эта их голубая мечта кажется осуществимой, в том, что Путин продавал им дешевый газ, позволяющий компенсировать разницу"", — отметил обозреватель.При этом, как указали в издании, США, в отличие от Европы, в теории может обеспечить свои нефтегазовые потребности, однако даже у них недостаточно экспортных ресурсов для компенсации сокращения добычи нефти со стороны России и ОПЕК+.Автор публикации призвал западные страны перестать строить воздушные замки.""Единственный действительно эффективный способ перехода — послать убедительный ценовой сигнал: либо налоги на грязную энергию, либо стимулы для чистой. Пока мы не обеспечим стабильные и надежные поставки энергии с минимальными выбросами при минимальных затратах, все наши слова можно смело назвать показухой. Мы балуем себя ложной добродетелью, в то время как Путин и Мухаммед ибн Салман по дороге в банк смеются над нами"", — подчеркнул обозреватель.Многочисленные ограничения против России, установленные западными странами, спровоцировали рекордную инфляцию и рост цен на топливо в них самих. Для стабилизации ситуации американский лидер Джо Байден совершил в июле визит на Ближний Восток, в рамках которого посетил Саудовскую Аравию — одного из ключевых членов сделки ОПЕК+. Американский президент просил увеличить добычу и поставки нефти странами Персидского залива.Cтраны ОПЕК+ 5 октября договорились сократить добычу нефти на два миллиона баррелей в сутки с ноября, а за базу отсчета взять согласованные на август уровни производства. Альянс объяснил свое решение неопределенностями вокруг мировой экономики и прогнозов по рынку нефти. Несмотря на развернувшийся энергетический кризис в Европе и рост цен на энергоносители в других регионах мира, этот шаг поддержали все участники сделки."
none-core,ria,"Заявление Зеленского взбесило США, пишут СМИ  ",2022-10-09,7798,https://ria.ru/20221009/zelenskiy-1822570256.html,"МОСКВА, 9 окт - РИА Новости. Призыв президента Украины Зеленского к нанесению Западом упреждающего удара по России - это авантюрное и истеричное заявление, которое стало стандартом в политической жизни Киева, пишет Арнольд Шельцель для издания Junge Welt. ""В репертуар власть имущих в Киеве с 2014 года вошли постоянные попытки морально шантажировать собственных спонсоров на Западе. Хвост пытается вилять собакой"", — говорится в публикации. По словам автора, в отношениях Украины и США явно есть трещина. Это стало ясно на прошлой неделе, когда Зеленский призвал к ускоренному вступлению Украины в НАТО, отмечается в статье.""Киев сразу же получил ответ в духе ""око за око"". CNN и New York Times опубликовали информацию о том, что Украина заказала убийство российского репортера Дарьи Дугиной. Какой сюрприз. Может быть, из-за непредсказуемости офиса Зеленского, Запад будет помогать только поставками вооружений и не захочет напрямую воевать с Россией"", — пишет Шельцель.При этом самой большой угрозой для украинского президента остается спокойствие на фронте, считает журналист. Если это предположение верно, то оно объясняет его безответственные призывы отчаянием, а если нет: то, что сказано, все равно остается преступным, резюмировалось в материале. Ранее Зеленский выступил по видеосвязи для Института Лоуи в Австралии. Во время своей речи он призвал Запад ""исключить возможность применения Москвой ядерного оружия"". Для этого, по его словам, Североатлантический альянс должен действовать превентивно.Как отметил пресс-секретарь президента России Дмитрий Песков, на высказывания Зеленского должны обратить внимание все страны мира, особенно США, Великобритания и члены Евросоюза. Он назвал заявление главы украинского государства призывом к началу мировой войны и напомнил, что в случае такого конфликта последствия будут чудовищными и непредсказуемыми. Тридцатого сентября президент Владимир Путин и главы Донецкой и Луганской народных республик, Херсонской и Запорожской областей подписали договоры о включении этих регионов в состав России. На этом фоне Зеленский заявил, что Киев немедленно подает заявку об ускоренном вступлении в НАТО. Однако генсек альянса Йенс Столтенберг напомнил, что для принятия нового члена нужно согласие всех 30 стран-участниц, хотя и пообещал, что НАТО сконцентрирует усилия на оказании Киеву помощи."
none-core,ria,Москвичам рассказали о погоде в воскресенье ,2022-10-09,448,https://ria.ru/20221009/pogoda-1822569609.html,"МОСКВА, 9 окт - РИА Новости. Облачность с прояснениями ожидается в Москве в воскресенье, во второй половине дня пройдут скоротечные ливневые дожди, воздух прогреется до плюс 15 градусов, сообщил РИА Новости ведущий сотрудник центра погоды ""Фобос"" Евгений Тишковец.""Во второй половине дня небо нахмурится, но а ближе к вечеру прошумят скоротечные ливневые дожди с общим количеством осадков до 5-7 миллиметров. То есть, в Москве облачно с прояснениями, во второй половине дня кратковременный дождь. Температура воздуха плюс 13-15, в Подмосковье от 11 до 16 градусов"", - сообщил Тишковец.Синоптик также отметил, что ветер будет юго-западным, западным порывистым 5-10 метров в секунду. Атмосферное давление будет падать и составит 746 миллиметров ртутного столба."
none-core,ria,ВСУ выпустили ракету из HIMARS по пункту размещения граждан МЧС ЛНР ,2022-10-09,6977,https://ria.ru/20221009/lnr-1822568662.html,"ЛУГАНСК, 9 окт - РИА Новости. Украинские войска ночью нанесли удар с применением РСЗО HIMARS по пункту временного размещения граждан МЧС ЛНР, сообщает представительство ЛНР в Совместном центре по контролю и координации вопросов, связанных с военными преступлениями Украины (СЦКК).""В 1.35 ВФУ по н.п. Старобельск нанесли удар с применением РСЗО HIMARS (1 ракета). В результате обстрела поврежден пункт временного размещения граждан МЧС ЛНР на окраине города"", - говорится в сообщении в Telegram-канале."
none-core,ria,В Ереване прогремел взрыв ,2022-10-09,5807,https://ria.ru/20221009/erevan-1822568427.html,"ЕРЕВАН, 9 окт – РИА Новости. Взрыв произошел в воскресенье в одном из районов Еревана, есть пострадавшие, сообщили в пресс-службе МЧС Армении.""Девятого октября, в 9.15 (8.15 мск), на пульт дежурного Национального центра кризисного управления поступила информация, что на проспекте Багратуняц в Ереване произошел взрыв, возник пожар, есть пострадавшие"", - говорится в сообщении на сайте ведомства.Отмечается, что на место выехали две группы пожарных спасателей. Другие подробности не приводятся."
none-core,ria,"Излишки валюты можно тратить на инвестиции за рубежом, считают эксперты ",2022-10-09,2555,https://ria.ru/20221009/valyuta-1822567916.html,"МОСКВА, 9 окт - РИА Новости. Избыточный профицит торгового баланса в России нужно использовать за рубежом, считают опрошенные РИА Новости эксперты, при этом в лучшем целевом применении этих средств их мнения разошлись - кого-то из аналитиков наиболее привлекают заграничные инвестиции, кого-то - стимулирование импорта критических компонентов и оборудования.По данным Банка России, положительное сальдо счета текущих операций в России в январе - августе 2022 года достигло 183,1 миллиарда долларов, что в три раза превышает результат за аналогичный период предыдущего года (60,9 миллиарда долларов).Последствия ""такого перекоса"" сальдо счета текущих операций наблюдаются уже несколько месяцев, и ярче всего они отражаются на курсе национальной валюты, указывает доцент кафедры ""Мировые финансовые рынки и финтех"" РЭУ имени Плеханова Татьяна Белянчикова. ""Излишки иностранной валюты требуют своего размещения за рубежом, по-другому это не работает: либо иностранные инвестиции, либо валютные резервы"", - заявила она.Иностранные инвестиции, например, в развертывание сборочных производств российской экспортной продукции, могут быть одним из возможных вариантов использования избытка валюты, согласен исполнительный директор Института экономики роста имени Столыпина Антон Свириденко. При этом он не считает это лучшим способом для борьбы со сверхпрофицитом.""Лучшим вариантом было бы стимулирование закупок за рубежом критических компонентов и оборудования, необходимого для разных секторов российской экономики. Действительно, использование валюты затруднено, но кое-какие сделки проходят"", - считает Свириденко.По его словам, в тех условиях, которые создались в России, лучше искать пути использования валюты на цели внутреннего развития, так как переток этих средств за рубеж эффекта для развития не даст. ""Хотя возможны варианты, когда операции с валютой за рубежом направлены как раз на повышение российского экономического потенциала"", - заметил эксперт."
none-core,ria,В ДНР три человека погибли за сутки из-за обстрелов со стороны ВСУ ,2022-10-09,362,https://ria.ru/20221009/donbass-1822567801.html,"ДОНЕЦК, 9 окт - РИА Новости. По меньшей мере три человека погибли, шесть пострадали за сутки в ДНР в результате обстрелов со стороны украинских войск, сообщает представительство ДНР в Совместном центре по контролю и координации вопросов, связанных с военными преступлениями Украины (СЦКК).""Общее количество жертв среди гражданских лиц от атак ВФУ за 8 октября 2022 года составляет девять человек (три погибли, шесть ранены)"", - говорится в сообщении в Telegram-канале."
none-core,ria,Украинские войска за сутки 51 раз обстреляли ДНР ,2022-10-09,395,https://ria.ru/20221009/dnr-1822567683.html,"ДОНЕЦК, 9 окт - РИА Новости. Украинские войска за сутки 51 раз обстреляли ДНР, выпустив 253 единицы боеприпасов, сообщает представительство ДНР в Совместном центре по контролю и координации вопросов, связанных с военными преступлениями Украины (СЦКК).""За истекшие сутки Представительство сообщало о 51 факте ведения огня со стороны ВФУ… Выпустив 253 единицы различных боеприпасов"", - говорится в сообщении.Отмечается, что были повреждены 17 домостроений в Донецке, Ясиноватой, а также три объекта гражданской инфраструктуры."
