tag,site,header,date,views,link,text
business,tjournal,Может ли ИП учесть в расходах плату за аренду жилья?,2022-09-12 00:00:00,1000,https://journal.tinkoff.ru//rent-in-expenses/,"
     Павел  спросил в Сообществе  Профиль автора Может ли ИП на УСН «Доходы минус расходы» снять у самозанятого квартиру в субаренду и учесть плату в своих расходах? Как ее обосновать? 

    Александр Майфет  самозанятый  Профиль автора 

Снять квартиру у самозанятого можно, закон позволяет сдавать жилье с уплатой налога на профессиональный доход — НПД. Но отразить расходы в налоговом учете у ИП получится не всегда.
Сразу немного вас поправлю: так как речь идет о жилом помещении, используется термин «поднаем жилья». В субаренду сдают и снимают только нежилые помещения, например офисы или склады.
Упрощенцы с объектом «Доходы минус расходы» могут учитывать только те расходы, у которых есть экономическое обоснование, — когда затраты нужны, чтобы извлекать коммерческие доходы.
Квартира — это помещение для проживания. Ее наем нужен скорее для личного пользования, чем для бизнеса. У таких расходов не будет экономического обоснования, и отразить их в налоговом учете не получится.

В то же время в квартире можно вести бизнес, если жить в ней законно, не нарушать права соседей и не перестраивать помещение. В этом случае расходы на наем будут обоснованными: ИП снимает жилье не только для жизни, но и для предпринимательской деятельности.
  Сообщество 18.04.22 Можно ли арендовать помещение как ИП, а работать в статусе самозанятого? 

Чтобы обосновать расходы, нужны договор и чеки от самозанятого, который сдает квартиру в поднаем. Расскажу обо всем подробнее.
 Как зарабатывать на своем делеЛучшие материалы о бизнесе в вашей почте дважды в месяц. БесплатноПодписаться 
Как снять квартиру в поднаем у самозанятого

Снять квартиру в поднаем можно только с согласия наймодателя — человека, который сдал помещение самозанятому. Согласие должно быть письменным, а не просто на словах.
  Сообщество 01.07.21 Можно ли самозанятому сдавать в субаренду нежилое помещение? 


Если в договоре найма ничего не сказано о праве поднайма, нужно оформить согласие наймодателя в дополнительном соглашении или отдельным договором о поднайме.
  ст. 615, 685 ГК РФ 

Если помещение сдадут в поднаем без согласия наймодателя, он может расторгнуть договор с первым нанимателем. Это автоматически отменит договор поднайма — придется перезаключать договор или съезжать с квартиры.

Договор поднайма по содержанию не отличается от договора найма или аренды. В нем также указывают размер платы, срок сдачи и описание помещения.
  ч. 1 ст. 51 закона № 218-ФЗ 

Если договор поднайма заключен на срок более года, его нужно зарегистрировать в Росреестре. Подать заявление на это может любая сторона договора.
За регистрацию нужно будет заплатить госпошлину — 2000 Р.
Как ИП учитывать расходы на поднаем жилья
Налоговая база на УСН «Доходы минус расходы» — это прибыль от коммерческой деятельности.
Налоговую базу можно снижать за счет только экономически обоснованных и документально подтвержденных затрат. Это два важных момента, которые нужно соблюсти.

Экономическая обоснованность. Расходы ИП должны быть связаны непосредственно с предпринимательской деятельностью. То есть той, что направлена на систематическое получение прибыли.
   /ip-taxes/    Налоги для ИП на упрощенке  

Плату за аренду помещения по закону можно учитывать в расходах, при этом не имеет значения, жилое оно или нежилое. Но аренда или наем должны быть связаны с коммерческой деятельностью.

Если вы планируете снимать квартиру для проживания, учесть расходы на поднаем не получится. В этом случае нет экономической цели — есть только личная. Проживание ИП в квартире не решает вопросы бизнеса.
  подп. 5 п. 1 ст. 346.16 НК РФ 

Если вы планируете не только жить в квартире, но и вести бизнес, говорить об экономическом обосновании можно с осторожностью.

Во-первых, нужно соблюсти несколько условий: зарегистрироваться по месту жительства, использовать жилье по назначению и не нарушать права соседей. Только тогда бизнес будет законным.
  Сообщество 30.05.22 Как бороться с незаконным бизнесом в соседской квартире? 

Во-вторых, проживание в квартире должно совпадать со спецификой работы ИП. Например, предприниматель хочет принимать заказы и шить занавески. Для этого ему не обязательно арендовать нежилое помещение — он может работать и на дому. То есть он может снимать квартиру и для проживания, и для работы.
Обратный пример. ИП хочет открыть детский сад на дому. Предприниматель не сможет учитывать расходы на поднаем жилья: детский сад не предназначен для проживания. Сначала нужно перевести жилое помещение в нежилое и только после этого можно говорить об экономическом обосновании.

Документальное подтверждение затрат. В вашем случае подтверждением расхода будет договор поднайма и чеки от самозанятого наймодателя. 
   /guide/self-employed-contract/    Как заключить договор с самозанятым  

Обратите внимание, что для самозанятого платежи за поднаем и коммунальные услуги считаются доходом. На каждую сумму он должен выдавать отдельные чеки, на основании которых вы можете учитывать расходы.

Исключение — коммунальные услуги, которые начисляются по показаниям счетчиков. Это подача воды, электричества и газа. Оплата этих услуг не образует экономической выгоды у наймодателя, поэтому чеки на них он выдавать не должен. 
  Письмо Минфина от 29.04.2019 № 03-04-07/31733 

В этом случае вы можете оплачивать услуги напрямую поставщикам и на основании оплаченных квитанций отражать расходы в налоговом учете.
Что в итоге
Снять жилье в поднаем у самозанятого можно. Закон это не запрещает.
Чтобы учесть расходы на поднаем, нужна экономическая обоснованность и документальное подтверждение затрат.
Если вы планируете снимать квартиру только для проживания, учесть расходы на поднаем не получится.

Если вы планируете не только жить в квартире, но и вести бизнес, учесть расходы можно при соблюдении нескольких условий. Например, должна быть регистрация по месту жительства, а специфика работы позволяет заниматься бизнесом дома.
  Сообщество 15.08.22 Может ли самозанятый сдавать квартиру через риелтора? 

Самозанятый-наймодатель должен выдавать чеки на платежи за поднаем квартиры и оплату коммунальных услуг.

"
business,tjournal,Адресность и конкретика: признаки хорошего лендинга,2022-09-12 00:00:00,68,https://journal.tinkoff.ru//short/good-landing/,"

Лендинг — это одностраничный сайт, который призывает потенциального покупателя к какому-то маркетинговому действию: например, оформить заказ или подписаться на рассылку. Собрали признаки работающего лендинга — по ним можно проверить свой сайт.
   🏞 Качественные иллюстрации Лучше избегать заезженных картинок из фотостоков: они абстрактные и, возможно, покупатель видел их уже не один раз.Эффективнее использовать в иллюстрациях реальный продукт: показать, как люди используют товар, сделать скриншоты сервиса, выложить фрагмент курса     📄 Текст структурирован Здорово, когда текст и иллюстрации сверстаны аккуратно, а важные мысли визуально выделены — например, подзаголовками. И вся информация по делу: описаны свойства и преимущества продукта.Если разместить на лендинге сплошное полотно текста, вряд ли в него будут внимательно вчитываться     📱 Есть оптимизация под разные устройства Пользователи могут изучать лендинг не только с компьютера, но и с телефона или планшета. Чтобы не терять клиентов, стоит сделать удобную и визуально приятную верстку под разные размеры экранов  Как проверить отображение сайта      💡 Понятно, о чем идет речь Хорошо, когда пользователь сразу видит, что ему предлагают. Добиться этого можно с помощью конкретного заголовка, без абстракций. Например, по заголовку «Клининг в Москве: 500 Р за выезд» читатель понимает, что ему продают недорогую уборку в столице. А заголовок «Сэкономим ваше время» может быть о чем угодно  Как узнать, что нужно клиенту      👤 Лендинг адресный Адресность означает, что аудитория сайта потенциально может стать покупателем, у нее может быть проблема, которую решает продукт.Найти нужных людей помогает правильная настройка рекламных каналов. Например, мы ведем на сайт пользователей, которые искали в Яндексе описание проблемы, — и предлагаем им решение   Виды рекламных каналов      🔄 Продуманные каналы входа На лендинг не попадают случайные люди. Входящий трафик настроен так, что содержимое сайта отвечает на вопрос тех, кто его просматривает.К примеру, можно использовать ретаргетинг: показывать рекламу со ссылкой тем, кто уже интересовался товаром или услугой  Как настроить ретаргетинг      🧩 Есть сценарий использования Абстрактные обещания вряд ли сработают. Лучше показать, как люди пользуются товаром или услугой, какой получают результат. Например, если лендинг продает клининг — можно опубликовать фото квартиры до и после уборки     🛍 Понятно, как купить Плохо, если лендинг путает потенциального клиента: он пришел за услугой, а ему дают ссылки на огромные каталоги и предлагают скачать прайс-лист.Лучше сделать проще: клиент посмотрел нужную информацию и по клику перешел в окно оплаты. Или в форму, где можно заказать звонок консультанта     ✅ Простое действие для клиента От покупателя не требуют сразу заплатить большую сумму за товар незнакомого бренда. Ему предлагают сделать что-то простое: подписаться на рассылку, заказать звонок консультанта, пройти онлайн-тест, который определит, как можно решить проблему     😎 Все о бизнесе — в нашей рассылке⁠⁠⁠⁠⁠⁠⁠⁠⁠ Раз в две недели мы отправляем рассылку, где делимся последними новостями для бизнеса и кейсами предпринимателей из разных сфер  Подписаться    
Еще про бизнес и рекламу:


1. Как бизнесу работать с соцсетями.
2. Как привлекать клиентов в интернете.
3. Сервисы для создания интернет-магазинов.

  Самое интересное про бизнес — в нашем телеграм-канале. Подписывайтесь, чтобы быть в курсе происходящего: @t_biznes. 

"
business,tjournal,«Спустя 10 лет мы готовы много зарабатывать»: героиня сериала развивает бренд одежды,2022-09-08 00:00:00,1000,https://journal.tinkoff.ru//nelli-serial-4/,"

    Нелли Недре  сделала бренд экологичной одежды  
    Варвара Кириллина  записала историю предпринимательницы  Профиль автора 
Вы читаете последний эпизод Нелли Недре из сериала о предпринимателях, в котором владельцы рассказывают об успехах и подводных камнях своего бизнеса.
В прошлых эпизодах Нелли, владелица бренда одежды NNedre, переехала в Армению, разработала и отсняла новую детскую коллекцию и начала искать людей для масштабирования производства. 
С первым человеком на должности начальника цеха не сработались, но Нелли наконец-то нашла подходящего специалиста, а также взяла в команду еще двух новых человек и ищет агентство для закупки рекламы. Еще Нелли пришла к выводу, что спустя 10 лет бренд готов много зарабатывать — и рассказывает, как собирается к этому прийти. 
 КОРПОРАТИВНАЯ КУЛЬТУРАБизнесу — скидка на курсы УчебникаЭти знания помогут сотрудникам лучше жить, а компании — выразить свою заботу о сотрудниках Что за курсы?  
Собираем команду новых специалистов
С 15 августа с нами работает новая сотрудница — начальник цеха. Это женщина с очень большим опытом: она и свое производство запускала с партнером, и работала в крупных компаниях, и консультировала другие организации. Мы долго искали человека на эту позицию и очень рады, что наконец-то нашли. Она будет заниматься масштабированием производства, систематизацией и наведением порядка в цеху. 
Начальник цеха распределяет заказы и работу между закройщицами и швеями, рассчитывает себестоимость и объем заказов, рассчитывает комплектующие и проверяет качество каждого изделия. И следит, чтобы всего хватало и с выпуском не было проблем.

Мы нашли новую начальницу на «Хедхантере». На этом ресурсе можно найти высококлассных специалистов. А вот швей, например, мы ищем на «Авито» или по сарафанному радио. Пока что, правда, никого не отыскали: не все еще вышли из отпусков. 
   /list/hr-vs-coo/    Как нанять операционного директора в кризис: 9 советов опытного хедхантера  
Мне не стало легче работать, потому что приходится передавать дела и проговаривать все детали: это занимает много времени. У новой начальницы производства есть идея, как его реорганизовать, чтобы оно справилось с нашим ростом. 
По ее словам, нужны кардинальные перемены: мы намерены увеличивать продажи, и в таком случае наших мощностей будет недостаточно. При необходимости мы будем отшиваться на стороннем производстве, с которым она как раз работала. Через полгода мы будем растить производство исходя из самых популярных продуктов: от этого будет зависеть, какое оборудование нам нужно будет купить. 
Сейчас мы работаем не в крупносерийном масштабе: отшиваем и немного продаем. Мы не сидим под гигантским потоком, и себестоимость изделия сохраняется довольно высокой, за исключением крупных B2B-заказов. 





         Осенью в команде произошли перестановки 


         Сменился начальник цеха, онлайн-менеджер, пришел менеджер на B2B-заказы 






    






         Дальше нас ждут изменения в производстве. Чтобы расти, нам нужно больше мощностей 


         Но сначала нужно определиться с тем, что именно мы будем отшивать, как изменится работа производства 





В нашей команде сменился онлайн-менеджер. У нас 3—4 месяца должность занимала девушка, но ей довольно тяжело все время работать со складом, и мы взяли нового сотрудника — молодого человека. Вообще, это первый мужчина, за исключением моего мужа, который начал работать в компании, и мы этому очень рады. Мы уже его знали: он работал в компании наших знакомых. Такой вот круговорот людей в малом бизнесе.
С сентября начнет работать менеджер B2B. Сейчас у нас есть четыре крупных дизайн-проекта с заказами на сумму от 3 000 0000 Р до 25 000 000 Р и четыре мелких на сумму от 250 000 Р до 300 000 Р, должны оформить их в сентябре, и мы перейдем уже к образцам. 
Названия компаний я не могу называть из-за договоренностей, но еще в августе на нас посыпались заказы. Заказчики открывают новые рестораны, другие известные рестораны меняют форму, ИТ-компания празднует свой день рождения. Мы с Женей решили, что нам нужен человек на все эти проекты: вести переписки, следить за производством и согласовывать все с заказчиком, подписывать необходимые документы.

Заказов становится больше, проектов много, и мы стараемся структурировать это направление. У нас есть постоянные партнеры, например Duoband, ресторан Harvest, кафе Frantsuza Bistrot Димы Блинова. Мы с ними работаем более трех лет. Эти ребята часто открывают новые места или видоизменяют форму. 
   /kak-dela-u-restoranov/    Что происходит с ресторанным бизнесом в условиях санкций  
Мы хотим для таких постоянных клиентов выделить персонального менеджера, чтобы она с ними общалась вместо меня. У многих корпоративных клиентов уже есть карты с отмеченными вещами, которые мы постоянно повторяем. Менеджер будет следить за тем, чтобы вовремя делать обновления, либо помогать с формой на запуск новых проектов. 
На эту позицию мы нашли девушку. С ней мы также были ранее знакомы: она работает на фрилансе помощником и проджект-менеджером в компании моих друзей. Оказалось, что у нее есть свободное время и она готова с нами поработать. Мы изучили ее резюме: она успешно сотрудничала со многими нашими друзьями и знакомыми — владельцами локальных бизнесов. В первый месяц она будет зарабатывать фиксированную ставку, а когда начнет вести крупных клиентов, мы выделим ей процент.
Интересно наблюдать, как люди переходят на гибридный формат работы — в разной деятельности.
Обычно B2B-проект состоит из следующих этапов: дизайн-проект — визуализация и согласование ее с заказчиком, обработка изделий в 2D, потом графическое изображение на человеке в 3D, потом согласование образцов, а затем уже пошив.
Прямо сейчас на текущие этапы проектов мы не будем ее подключать — все уже на этапах финальных согласований, и она не в курсе предыдущих переговоров. Подключим ее полноценно на этапе отшива партии, чтобы она сопровождала производство, проследила за своевременной отгрузкой и подписанием нужных документов. 
            Образцы одежды для B2B-сегмента 
            У нас много постоянных клиентов, которые заказывают сшить форму для официантов или работников компании 
Также я все еще в поисках второго дизайнера. Недавно мы сделали оффер одной девушке, с которой я уже некогда работала, и еще у нас лежит стопка резюме с «Хедхантера» на собеседования. Я хочу уделять больше времени B2B, но с основной и детской линейкой остается много работы. 
Я ищу человека с опытом от трех лет, который работал с производством и понимает не только процесс отрисовки, но и то, как вещь потом реализуется. То есть дизайнер может дать конкретное задание на производство, как нужно сшить вещь. Раньше я размещала посты с вакансией в личных соцсетях, но часто на них откликались люди только после института и вообще без опыта. Это нам не подходит. 
Мне не так важно, на чем раньше специализировался человек. Главное — умение работать с производством. Конечно, я вряд ли найму человека, который делает платья с рюшами, но я хотела бы сотрудничать с промышленным дизайнером, который работал с массмаркетом или крупным брендом.

Сейчас мы нашли графического дизайнера на детскую линейку: он будет помогать нам с графикой, айдентикой упаковки и бирок, вышивками и принтами для детской одежды. Мы хотим добавить в одежду дополнительные элементы и надеемся, что графический дизайнер будет нас периодически сопровождать. 
   /eich-i-budu/    «Безопаснее развиваться в своей сфере»: 13 вопросов руководителю карьерного сервиса  
Стартовали продажи новых коллекций
С 1 сентября детская линейка начала продаваться на сайте. Активно ее рекламировать мы начнем в октябре, когда выпустим все позиции. Сейчас мы работаем над зимней детской линейкой и в сентябре планируем ее снимать для лукбука. Большая часть базовой детской одежды уже отшита, а теплая зимняя коллекция будет отшиваться с недели на неделю. 
Зимнюю одежду производить намного сложнее, чем просто шить из трикотажа, но одна из наших целей — создать конкурентоспособную хорошую зимнюю одежду. У нас уйдет достаточно много времени, чтобы отточить вещи с точки зрения конструкции. 

Все ткани на зимнюю коллекцию мы закупили еще в июле, в августе они приехали. Зимняя одежда как для детей, так и для взрослых шьется из курточного материала, который не пропускает влагу, со специальным покрытием внутри: это утеплитель, подкладка и в нашем случае еще ткань-барашек. Мы используем этот материал для капюшона и на спину, чтобы было мягче и приятнее. 
   /varezhki-ot-babushki/    Бизнес на варежках и носках, которые вяжут бабушки в деревне  
Зимняя одежда — многосоставная. Футболка делается из одного материала, а в куртке используется до 4—5 материалов. Количество слоев зависит от сезона, на который шьется вещь. 
Мы шьем больше вещей на зиму, чем на межсезонье, потому что в Москве и Питере осень-зима идут всего месяц-полтора, а зима — до полугода: с ноября по апрель. В детской одежде мы не стали делать акцент на межсезонную одежду, а оставили постоянную базу. 





         Пока что межсезонью мы уделяем меньше внимания. Это очень сложный сегмент 


         Тренчи покупают не более двух месяцев. Их надо вовремя разместить и быстро продать, потому что в ноябре при минусовой температуре тренч уже никому не нужен. Точно так же весной 






    






         Выбор моделей, референсов, одежды и аксессуаров, иногда даже поз — за мной 


         По моим инструкциям команда снимает без меня 





Трудозатраты на изготовление детской и взрослой одежды одинаковы, и разница в цене идет только за счет меньшего расхода ткани на детскую одежду, а если речь идет о подростковой одежде, то там расход ткани такой же. Детская линейка у нас начинается с размера 80 см на возраст 9—12 месяцев и на некоторые модели доходит до 164 см. Это подростки 13—15 лет, которые уже имеют параметры взрослого человека. 
Пока что мы будем смотреть, какой спрос будет у подростков. Нам надо будет сделать очень много контента, чтобы показать, как одежда смотрится на малышах, а как на взрослых ребятах. В основном это будут фотосъемки, а также видео на бэкстейдже для Reels. Детей очень сложно снимать статично. Даже самый натренированный ребенок-модель через полчаса устает. 

Съемки я буду организовывать из Еревана, возвращаться мне не обязательно. Я думаю, мы будем искать помощника на организацию съемок. 
   /list/modern-erevan/    14 необычных модернистских построек Еревана  
С 15 августа на сайте уже висит взрослая осенняя коллекция. Обычно в конце июля — начале августа начинается распродажа. Спрос постепенно нарастает и в середине августа выходит на пик. Именно в это время мы размещаем новую коллекцию: люди часто заходят на сайт и могут ознакомиться с новыми вещами. 
На прошлой неделе у нас начались первые покупки осенней коллекции, хотя обычно люди начинают покупать осеннее, когда начинает холодать. Как только температура меньше 20 градусов, люди резко переодеваются.





         Цены на детские вещи ниже, чем на взрослые: рубашка стоит 3500 Р 


         Детские брюки также будут стоить 3500 Р 






         Цены на детские вещи ниже, чем на взрослые: рубашка стоит 3500 Р 
         Детские брюки также будут стоить 3500 Р 

Начался главный маркетинговый этап по продвижению новых коллекций
В течение последних двух недель мы общались с блогерами, договаривались с ними о рекламе, направляли вещи и обговаривали съемки. 
С 31 августа у нас начался главный маркетинговый этап: публикации у блогеров. На детскую одежду у нас отдельные блогеры — мамы, которые делают подборки гардероба для детей. На этой неделе мы будем отправлять им одежду.

У нас есть база блогеров, там около 30 человек. В месяц мы работаем с 10 блогерами. Половина работает просто за бартер из 1—3 вещей, некоторым мы отправляем 4—5 вещей и доплачиваем, если показатели вовлеченности, переходов и прироста аудитории хорошие. С пятью людьми мы работаем постоянно: они очень любят нашу одежду и реально в ней ходят, отмечая нас в сторис и постах в «Инстаграме». 
  Соцсеть «Инстаграм» принадлежит Meta — организации, деятельность которой признана экстремистской и запрещена на территории РФ 

В июле мы стали пробовать работать с телеграм-каналами, связанными с модой, стилем, подборками одежды. Мы видим хороший фидбэк. Мы даем блогерам реферальную отслеживаемую ссылку и видим, сколько человек откуда приходит на сайт покупать одежду. Иногда мы выделяем блогерам промокоды, и по их использованию тоже видно, откуда приходит аудитория. В среднем при оплате блогеру 7000—15 000 Р приходят заказы на 50 000—100 000 Р.
Часто бывает, что блогер, например, запостил рубашку, и всю неделю у нас покупают именно ее. Аналитик видит это, и мы сразу отмечаем, что благодаря этому человеку хорошо работают продажи.





         Детскую одежду планируем продвигать в том числе через блогеров 


         С блогерами мы работаем на условиях бартера плюс оплата 






         Детскую одежду планируем продвигать в том числе через блогеров 
         С блогерами мы работаем на условиях бартера плюс оплата 

Пытаемся сосредоточиться на офлайн-точках
В августе мы встали обратно на точку нашего бывшего магазина в Санкт-Петербурге — в помещение проекта «Зеленка» на Басковом переулке, 29. Там у нас представлены самые ходовые базовые вещи взрослой линейки и еще будет рейл с детской одеждой. 

Открытие нашего магазина произошло в октябре шесть лет назад, поэтому мы решили к этой дате устроить фотовыставку в пространстве магазина. Мы проведем съемку с детской линейкой, повесим фотографии, пригласим наших старых клиентов и расскажем, почему мы пришли к формату детской одежды. 
   /list/economy-for-children/    Как я экономлю на покупках для ребенка: 8 способов  
Недавно ребята из «Зеленки» пообщались с мерчандайзером, которую мы посоветовали. Пока что она не провела инструктаж персоналу «Зеленки», как правильно развешивать и продавать нашу одежду. Сделаем это после того, как в магазин поступит осенняя коллекция. Сейчас в «Зеленке» продается коллекция нашей распродажи, но чтобы повесить другие модели, магазин должен поставить дополнительные рейлы. 





         Пока что в магазине не хватает рейлов для нашей основной коллекции 


         Еще нет рейла для детской одежды — он должен быть меньше обычного взрослого 






         Пока что в магазине не хватает рейлов для нашей основной коллекции 
         Еще нет рейла для детской одежды — он должен быть меньше обычного взрослого 

В «Зеленке» мы хотели выйти на уровень прибыли 500 000 Р в месяц и пока идем к этому показателю. Но надо понимать, что мы поставили в магазин вещи с распродажи. Вещи со скидкой 30—40% идут очень хорошо. Мы встали в точку только 7 августа, прошло мало времени. Посмотрим, как будет продаваться осенняя коллекция. Пока что мы с «Зеленкой» притираемся друг к другу.

Сейчас мы также переписываемся с универмагом «Цветной» в Москве — у нас московская аудитория. Онлайн-заказов из Москвы больше, чем из Петербурга, средний чек в нашем магазине — 15 000 Р. 
   /predprinimateli-episod4/    «Инвестора нашли через поиск в Гугле»: героиня сериала строит бренд товаров для секса  
В «Цветной» мы хотим тоже сделать поставку осенней коллекции, но сначала надо заключить договор, изучить и подписать все документы, в том числе по поставке, и занести все единицы товара в базы обеих сторон. Универмаг работает на условиях реализации. Это значит, что они оставляют себе процент с выручки продаж. С «Зеленкой» мы работаем на аналогичных условиях.
«Цветной» дает рекомендации, что лучше поставить, но в нашем случаем им понравилось все, поэтому единственное требование — это наличие всего размерного ряда. Грубо говоря, если одну футболку купят, другая в том же размере должна быть на складе. 
            Чтобы работать с крупными магазинами вроде «Цветного», у бренда должны быть вещи во всех размерах в наличии, чтобы удовлетворить спрос 
Пока что онлайн-продажи на маркетплейсах проседают
С «Ламодой» переговоры пока не движутся, потому что у нас просто не хватает времени и рук. Мы больше переключились на офлайн. Август — время отпусков, и только сейчас вся наша команда наконец-то может собраться и понять, что мы хотим туда поставить. Условия нам прислали. Я уже говорила, что «Ламода» берет комиссию 37% с продажи товара. 

Продажами на «Вайлдберриз» мы недовольны: за месяц мы заработали 50 000—60 000 Р. Но надо сказать, что мы просто перезалили туда весь наш контент и вставили существующие тексты, то есть не приложили никаких усилий. На каждое направление нужен отдельный человек, и на продажи на маркетплейсах тоже. 
   /sergi-na-wildberries/    «Маркетплейс — это не свой бизнес»: как магазин украшений продает на «Вайлдберриз»  
В сентябре наша аналитик намерена углубиться в вопрос: как улучшить тексты в карточках товара, чтобы его было проще отслеживать по запросам покупателей. 
Наша первичная задача была — посмотреть, сможем ли мы успешно торговаться на маркетплейсах без вливания бюджетов, своими силами. Если мы поймем, где какую информацию о товаре можно докрутить или какие модели вывести в топ, то начнем вливать туда бюджет. 

Недавно мы общались с агентством, они сказали нам, что на маркетплейсы идет вообще другой контент: не дорогой и красивый, как в «Инстаграме», а простой и понятный, как, например, видео на «Асосе» с промерами всех длин. На создание этого контента тоже нужно потратить деньги. 
  Соцсеть «Инстаграм» принадлежит Meta — организации, деятельность которой признана экстремистской и запрещена на территории РФ 

Ищем агентство, которое поможет определиться с рекламой и развитием бренда 

Рекламу сейчас можно купить во «Вконтакте» и в Яндексе. В среднем оплата работы агентства и закупка рекламы стоит 200 000—300 000 Р в месяц. Стоимость варьируется в зависимости от объема работ. 
  200 000 Р стартовая сумма оплаты работы в рекламном агентстве 
Можно передать сразу все площадки: «Телеграм», «Вконтакте», имейл-рассылки, — и тогда цена будет выше. Можно отдать им пару площадок и смотреть, как они работают. И если результаты удовлетворительные, то можно каждый месяц повышать бюджет на рекламу. 
У крупных брендов миллионные бюджеты на закупку рекламы. Мы хотим подключить все платные каналы продвижения: «Яндекс-директ», MyTarget во «Вконтакте», продолжить работу с блогерами в том числе писать посевы — рекламные сообщения для различных сообществ и каналов. 
Сейчас мы хотим поставить себе долгосрочную цель и надеемся, что агентство поможет нам провести мозговой штурм: задаст нам правильные вопросы, о которых мы пока не подумали. 

У нас есть несколько вариантов развития бренда. Первый вариант: наша цель — зарабатывать больше денег. Второй: построить известный бренд. Не всегда известные бренды зарабатывают много денег. Они могут вливать крупные бюджеты на маркетинг, но при этом быть убыточными или работать в ноль. 
   /kak-obschatsya-brendu/    Бизнесу: 13 вопросов о том, как брендам строить коммуникацию  





         У нашего бренда всегда была сильная визуальная составляющая, мы стараемся показывать красоту 


         Но в работе с агентством важна не только визуальная сторона, но и цифры, к этому мы стремимся 






         У нашего бренда всегда была сильная визуальная составляющая, мы стараемся показывать красоту 
         Но в работе с агентством важна не только визуальная сторона, но и цифры, к этому мы стремимся 

Также мы пытаемся разобраться, в какое направление вкладывать больше сил: развиваться онлайн или офлайн, делать упор на детскую или взрослую одежду, бросать ли силы на мужскую коллекцию? Мужской одежды не хватает на рынке, базовой детской одежды тоже. Но это два больших полноценных направления. 

Еще необходимо уходить в другие соцсети — в тот же «Вконтакте», но неизвестно, какая там аудитория. В «Инстаграме» все продолжают сидеть с VPN, и не особо пока переходят во «Вконтакте». Надо изучать эту новую аудиторию и разрабатывать подход к ней. 
  Соцсеть «Инстаграм» принадлежит Meta — организации, деятельность которой признана экстремистской и запрещена на территории РФ 

Мы надеемся поработать полгода с агентством, чтобы правильно сформировать бренд. Старых инструментов нет, а новые надо нащупать, и с командой профессионалов это будет проще.
Женя работает в сфере ИТ и знает много агентств — он начал поиск нашего потенциального партнера с них. Многие из них классно мыслят цифрами, но, к сожалению, не работали в сфере моды. Я пустила клич в своих соцсетях, и мне также порекомендовали несколько агентств. Большинство из них в основном занимались визуалом и маркетингом, а не закупкой рекламы и обеспечением отчетности. При этом мне важно, чтобы в агентстве поняли наш тон и стиль. 
Я хочу, чтобы наш и другие российские бренды не работали по принципу «купи-продай», а формировали у людей вкус.
Агентства я оцениваю по компетентности и просто на уровне глаза смотрю, насколько красивы их проекты. Мы изучаем портфолио и если видим симпатичные нам проекты, обращаемся к заказчикам за обратной связью. Цифры смотрит Женя. Он смотрит, какие показатели дает агентство за свой бюджет: просмотры, переходы на сайт, конверсия в покупки, ожидаемый прирост прибыли в процентах за один месяц.
Только что выбрали такое агентство. Его мне посоветовали в соцсетях. Они максимально отвечают нашему вкусу, и их план до Нового года кажется реалистичным.
Женя составил план развития на четыре месяца, но в идеале мы хотим понять, каким наш бизнес должен быть через три-пять лет: сколько мы хотим зарабатывать, как должен выглядеть наш бренд, куда мы двигаемся. 
В плане на четыре месяца очень понятные простые метрики. В течение ближайших месяцев мы будем тестировать платные каналы и маркетинг, в результате количество покупок и выручка в онлайн-магазине должны вырасти в два раза. 

В прошлом месяце наша выручка от розничных продаж составила 1 300 000 Р, через четыре месяца она должна выйти на уровень 2 600 000 Р.
  1,3 млн Р выручка от розничных продаж в августе 
Недавно я прочитала книгу «Пять пороков команды» Патрика Ленсиони. В ней написано, что чтобы компания преуспела, необходимо, чтобы члены команды двигались к одной главной цели. То есть чтобы не каждый топил за свой отдел, а чтобы все прикладывали совместные усилия в одну сторону. 
Сейчас мы пытаемся назначить эту цель. Я склоняюсь к тому, что по итогу десяти лет бренд готов много зарабатывать. Мы десять лет создавали айдентику, собирали аудиторию, стали достаточно популярными. Но чтобы выйти на качественно новый финансовый показатель, нам нужно меняться. 

На всех конференциях, где я была, всегда твердят одну мысль: чтобы начать зарабатывать по-настоящему много, надо выпускать продукт дешевле 3000 Р, но я не хочу терять в качестве. Нужно найти золотую середину. 
   /sousy-v-bankah-4/    «Налоговая заблокировала все мои счета»: героиня сериала решает проблемы с бизнесом  
  Самое интересное про бизнес — в нашем телеграм-канале. Подписывайтесь, чтобы быть в курсе происходящего: @t_biznes. 
  Сериал про предпринимателейЧетыре героя рассказывают раз в неделю, как справляются с бизнесом Перейти  

"
