tag,site,header,date,views,link,text
non-core,conslutant,"Расширили условия строительных госконтрактов, которые можно менять из-за непредвиденных ситуаций",2022-08-04 00:00:00,,https://www.consultant.ru//legalnews/19974/,"
 
Если при исполнении строительного контракта возникли обстоятельства, из-за которых его нельзя исполнить, то в 2022 году ряд его условий можно изменить. Например, допустимо скорректировать размер аванса.С 2 августа из-за роста стоимости стройресурсов можно увеличить и цену государственного либо муниципального контракта. При этом объем и (или) виды работ остаются прежними.Корректировку проводят в порядке изменения контракта из-за удорожания стройматериалов. Однако требование о том, что она возможна в пределах ЛБО и не увеличивает срок исполнения контракта или его цену более чем на 30%, не применяют. 

Документ:Постановление Правительства РФ от 28.07.2022 N 1344Полезные ссылки:Постановление Правительства РФ от 16.04.2022 N 680
(ред. от 28.07.2022)
""Об установлении порядка и случаев ...Постановление Правительства РФ от 09.08.2021 N 1315
(ред. от 28.07.2022)
""О внесении изменений в некоторые ... 
"
non-core,conslutant,"Отсрочка и рассрочка по налогам, взносам: хотят обновить порядок предоставления, рекомендуемые формы",2022-08-04 00:00:00,,https://www.consultant.ru//legalnews/19972/,"
 
Проект проходит публичное обсуждение. В числе прочего планируют закрепить, что за отсрочкой или рассрочкой нужно обращаться по ТКС или через личный кабинет налогоплательщика. В действующем порядке такого условия нет.Заявление о предоставлении отсрочки, рассрочки, инвестиционного налогового кредита предлагают подавать:в УФНС по субъекту РФ по месту нахождения (жительства) – если заявленная сумма не больше 10 млн руб.;межрегиональную ИФНС по управлению долгом – если сумма больше 10 млн руб.Сейчас по-другому определяют, куда подать заявление.Хотят сократить срок извещения инспекции об изменениях в поданных документах и представления измененных документов. Это нужно сделать не позднее следующего рабочего дня (сейчас — в течение 7 рабочих дней).Предлагают уменьшить с 7 до 5 рабочих дней срок, в который инспекция должна сообщить о результатах рассмотрения банковской гарантии, заявления поручителя или залогодателя.Планируют закрепить правило: если инспекции, рассматривающей заявление об отсрочке (рассрочке), нужна дополнительная информация, она может приостановить принятие решения, но не более чем на 20 календарных дней.Хотят изменить рекомендуемые формы документов. Например, в заявлении о предоставлении отсрочки (рассрочки, инвестиционного налогового кредита) нужно указывать КБК и ОКТМО для предстоящих платежей. Можно будет указать несколько платежей.Предполагают утвердить рекомендуемую форму заявления о досрочном исполнении решения о предоставлении отсрочки (рассрочки, инвестиционного налогового кредита). Сейчас такой формы нет. 

Документ:Проект приказа ФНС РоссииПолезная ссылка:Приказ ФНС России от 16.12.2016 N ММВ-7-8/683@
(ред. от 18.01.2022)
""Об утверждении Порядка изменения ... 
"
non-core,conslutant,Новые меры поддержки ИТ-отрасли: Минцифры ответило на вопросы о поправках к НК РФ,2022-08-04 00:00:00,,https://www.consultant.ru//legalnews/19967/,"

Рассмотрим самые интересные разъяснения.У компании есть право на пониженные тарифы взносов по итогам 9 месяцев 2022 года, если доля ИТ-доходов, рассчитанная нарастающим итогом за данный период, — 70% и выше. Тогда льготу можно применять за все 3 квартала. Если показатель ниже 70%, как и доля ИТ-доходов в I и II кварталах, но при этом в III квартале доля ИТ-доходов превышает 70%, используют переходные положения. В таком случае можно получить льготу в III и IV квартале. В расчетах нужно использовать выручку за III и в будущем за IV квартал.При расчете доли выручки для применения льгот можно учитывать доходы, которые получили за услуги по поддержке как своих, так и заказных программ.У интегратора, который устанавливает, тестирует, модифицирует и адаптирует программы, есть право на льготы. Если же он только продает программы, применить льготы можно при реализации своих программ (или разработанных третьим лицом, включенным в группу лиц).Напомним, недавно расширили перечень ИТ-организаций, которые могут претендовать на льготы по налогу на прибыль и взносам. Кроме того, смягчили критерии для применения этих льгот. 

Документ:Информация Минцифры России от 02.08.2022Полезные ссылки:Федеральный закон от 14.07.2022 N 321-ФЗ
""О внесении изменений в часть вторую Налогового кодекса Российской ...""Налоговый кодекс Российской Федерации (часть вторая)"" от 05.08.2000 N 117-ФЗ
(ред. от 14.07.2022)
(с ... 
"
non-core,conslutant,Суд: при увольнении по инициативе нанимателя надо ссылаться на конкретное основание увольнения,2022-08-04 00:00:00,,https://www.consultant.ru//legalnews/19917/,"
 
За неоднократное неисполнение должностных обязанностей к служащему применили дисциплинарные взыскания. В один день ему объявили замечание и выговор, на следующий день с ним расторгли контракт по инициативе нанимателя. В основании увольнения указали п. 4 ч. 1 ст. 33 Закона о госслужбе.Суды не одобрили действий нанимателя. Он применил общее основание увольнения вместо неоднократного неисполнения должностных обязанностей (п. 2 ч. 1 ст. 37 Закона о госслужбе). Это не соответствует ТК РФ, по которому записи в трудовой книжке должны точно соответствовать формулировкам кодекса или иного федерального закона со ссылкой на статью, ее часть и пункт.Отметим: похожее требование содержит Порядок ведения трудовых книжек. 

Документ:Определение 1-го КСОЮ от 23.05.2022 N 88-12434/2022Полезные ссылки:Приказ Минтруда России от 19.05.2021 N 320н
""Об утверждении формы, порядка ведения и хранения трудовых ...Федеральный закон от 27.07.2004 N 79-ФЗ
(ред. от 30.12.2021)
""О государственной гражданской службе Российской ...""Трудовой кодекс Российской Федерации"" от 30.12.2001 N 197-ФЗ
(ред. от 14.07.2022)
(с изм. и доп., вступ ... 
"
non-core,conslutant,Выплату за счет ОМС надбавки за квалификационную категорию замам главврача суд признал нецелевкой,2022-08-04 00:00:00,,https://www.consultant.ru//legalnews/19965/,"
 
Медорганизация из средств ОМС выплачивала надбавку к окладу за квалификационную категорию замам руководителя. Ее предусмотрели приказом департамента здравоохранения региона.ТФОМС и суд признали расходы нецелевыми.Они решили, что выплата надбавки правомерна лишь тогда, когда у замов есть квалификационная категория по специальности ""Организация здравоохранения и общественное здоровье"". Это следует из стандарта ""Специалист в области организации здравоохранения и общественного здоровья"" и квалификационных требований. В данном случае работники имели категорию по другой специальности. Основное условие организация не выполнила, поэтому не вправе платить надбавку из средств ОМС. 

Документ:Решение АС Владимирской области от 05.05.2022 по делу N А11-9819/2020Полезные ссылки:Приказ Минтруда России от 07.11.2017 N 768н
""Об утверждении профессионального стандарта ""Специалист в ...Приказ Минздрава России от 08.10.2015 N 707н
(ред. от 04.09.2020)
""Об утверждении Квалификационных требований ... 
"
non-core,conslutant,Проект поправок к порядку медреабилитации взрослых доработали,2022-08-03 00:00:00,,https://www.consultant.ru//legalnews/19971/,"
 
Минздрав планирует изменить правила медреабилитации взрослых. Проект поправок, который подготовили в июне, скорректировали. Документ проходит публичное обсуждение до 9 августа включительно.В новой редакции предлагают уточнить стандарты оснащения отделений реабилитации. Например, в список оборудования для ранней реабилитации добавили виды мобильной рамки для разгрузки веса при ходьбе. Речь об электрической раме для восстановления функции ходьбы и передвижной системе подъема и перемещения пациента (пп. ""б"" п. 4 проекта изменений).Из кабинета уродинамики центра медреабилитации хотят убрать часть медизделий, в том числе цистометр и иглу для биопсии предстательной железы (п. 11 проекта изменений).Напомним, главное новшество проекта — возможность проводить реабилитацию без создания отдельного подразделения (пп. ""г"" п. 1 проекта изменений). Это положение было и в предыдущей редакции, о которой мы писали ранее. 

Документ:Проект приказа Минздрава РоссииПолезная ссылка:Приказ Минздрава России от 31.07.2020 N 788н
""Об утверждении Порядка организации медицинской реабилитации ... 
"
non-core,conslutant,Предлагают ужесточить правила аккредитации ИТ-компаний,2022-08-03 00:00:00,,https://www.consultant.ru//legalnews/19970/,"
 
Минцифры разработало новый порядок аккредитации ИТ-компаний. Полагаем, он заменит правила, которые применяли до 1 августа. Проект еще не опубликовали, но рассказали о ряде изменений.Хотят аккредитовывать компании с выручкой от ИТ-бизнеса не менее 30%. Исключение — стартапы без такой выручки, которые инвестируют в эту сферу.Потребуют среди прочего:раздельно учитывать доходы. В бухотчетности за предыдущий период нужно отразить выручку от профильной деятельности;иметь основной код по ОКВЭД в области ИТ;выплачивать минимум 80% персонала зарплату не ниже средней по стране.В аккредитации откажут в таких случаях:компанию создали по итогам реорганизации;доля участия государства в юрлице — 50% или более;заявитель — банк, страховщик, телеком-компания и т.д.До 1 августа этих требований и оснований для отказа не было.Сейчас заявления на аккредитацию временно не принимают. 

Документ:Информация Минцифры России от 02.08.2022Полезные ссылки:Федеральный закон от 14.07.2022 N 321-ФЗ
""О внесении изменений в часть вторую Налогового кодекса Российской ...Постановление Правительства РФ от 18.06.2021 N 929
(ред. от 29.07.2022)
""О государственной аккредитации ...""ОК 029-2014 (КДЕС Ред. 2). Общероссийский классификатор видов экономической деятельности""
(утв. Приказом ... 
"
non-core,conslutant,Суд: срок подписания госконтракта победителем продлевают на время рассмотрения жалобы,2022-08-03 00:00:00,,https://www.consultant.ru//legalnews/19969/,"
 
Цена лекарства из ЖНВЛП в проекте контракта превышала предельную отпускную стоимость, поэтому победитель попросил снизить ее через протокол разногласий. Заказчик отказал и предложил сделать это позже по соглашению сторон, так как уменьшить цену можно только при исполнении контракта.Победитель не подписал документ и пожаловался контролерам, но те его не поддержали. Заказчик признал его уклонившимся.Две инстанции посчитали, что заказчик поступил верно:контракт не подписали в срок, обеспечение не внесли. Подача жалобы не мешала этому. На время ее рассмотрения приостанавливают только действия заказчика;если бы документ подписали в спорной редакции, это не стало бы согласием на его условия. Заказчик изменил бы их при наличии нарушений;по Закону N 44-ФЗ нельзя менять цену на этапе заключения контракта. Предложение заказчика сделать это в ходе исполнения победитель проигнорировал.Кассация решила иначе:заключение контракта — взаимные действия сторон. На время рассмотрения жалобы продлевают и срок подписания контракта победителем. Иное толкование закона — неверное, так как создает формальные основания признать его уклонившимся;требование приостановить заключение контракта направляют только заказчику, поскольку именно он завершает закупку. Это не ограничивает право участников на защиту. Заказчику не следовало принимать спорное решение.Ранее сходную позицию высказывал ВС РФ. Отметим, в практике есть и другое мнение. 

Документ:Постановление АС Московского округа от 13.07.2022 по делу N А40-155381/2021Полезная ссылка:""Обзор судебной практики Верховного Суда Российской Федерации N 2 (2020)""
(утв. Президиумом Верховного ... 
"
non-core,conslutant,"Суды напомнили: работница может расторгнуть соглашение об уходе, если узнала о беременности",2022-08-03 00:00:00,,https://www.consultant.ru//legalnews/19968/,"
 
С сотрудницей расторгли трудовой договор по соглашению сторон, выплатили компенсацию. После ухода она узнала о беременности. Работница хотела аннулировать соглашение, но ей отказали.Три инстанции поддержали работницу. Она отказалась уходить, поскольку узнала о своем положении. Если нет волеизъявления сотрудницы, то фактически ее уволили по инициативе работодателя, что нарушает запрет. Работницу восстановили, а сумму компенсации не взыскали.В сходных ситуациях вслед за ВС РФ беременных поддерживали, например, 1-й КСОЮ и 2-й КСОЮ. 

Документ:Определение 3-го КСОЮ от 22.06.2022 N 88-9320/2022Рекомендуем:Можно ли уволить беременную женщинуПолезная ссылка:""Трудовой кодекс Российской Федерации"" от 30.12.2001 N 197-ФЗ
(ред. от 14.07.2022)
(с изм. и доп., вступ ... 
"
non-core,conslutant,Кассация поддержала восстановление на службе уволенной по собственному желанию беременной,2022-08-03 00:00:00,,https://www.consultant.ru//legalnews/19957/,"
 
1-й КСОЮ оставил в силе выводы Московского областного суда, который признал незаконным отказ нанимателя восстановить уволенную беременную.Бывшая чиновница узнала о своем положении через 3 недели после расторжения контракта. Она попросила нанимателя восстановить ее на службе. Беременность на дату увольнения подтверждала справка из больницы. Наниматель отказал.Суд признал действия нанимателя незаконными. Увольнение служащего по собственной инициативе предполагает, что его решение добровольное и оно соответствует обстоятельствам. При расторжении контракта чиновница утратила право на ряд законных гарантий. Она не знала о беременности и не понимала, что увольнение приведет к риску для нее и ребенка. Действия чиновницы нельзя признать добровольными.Подобный подход применяют при увольнении по инициативе работодателя. ТК РФ запрещает расторгать договор по этому основанию с беременными. ВС РФ пояснял: в восстановлении на работе нельзя отказывать лишь потому, что работодатель не знал о беременности сотрудницы. 

Документ:Определение 1-го КСОЮ от 06.06.2022 N 88-14577/2022Полезные ссылки:Постановление Пленума Верховного Суда РФ от 28.01.2014 N 1
""О применении законодательства, регулирующего ...Федеральный закон от 27.07.2004 N 79-ФЗ
(ред. от 30.12.2021)
""О государственной гражданской службе Российской ...""Трудовой кодекс Российской Федерации"" от 30.12.2001 N 197-ФЗ
(ред. от 14.07.2022)
(с изм. и доп., вступ ... 
"
