tag,site,header,date,views,link,text
accountant,klerkru,"В ЕГРН внесут сведения о незарегистрированной недвижимости, если права на нее возникли до 31 января 1998 года",2022-09-27 15:18:00,1074,https://www.klerk.ru/buh/news/536166/,"
	Они это делают и сейчас. Но скоро расширят перечень лиц, в отношении которых может проводиться эта процедура.	Такой законопроект разработали депутаты, в том числе Павел Крашенинников, сообщает Госдума.	Речь идет о случаях, когда право собственности возникло до 31 января 1998 года.		Кроме того, будут устанавливать членов ЖСК, которые приобрели право собственности на квартиру, гараж в силу внесения своего паевого взноса.	Выявленный объект недвижимости будут вносить в ЕГРН в течение 5 дней с согласия собственника.	 


"
accountant,klerkru,Японский Isuzu покинет российский рынок,2022-09-27 15:00:00,690,https://www.klerk.ru/buh/news/536154/,"
	Компания решилась на такой шаг из-за невозможности поставлять компоненты в Ульяновск для непрерывного производства, пишет «Интерфакс», со ссылкой на японскую газету Yomiuri.	Завод приостановил выпуск автомобилей в России весной 2022 года.		Isuzu работал в России с 2006 года. И снабжал бизнес коммерческим транспортом.	В 2021 году выручка компании составила 15,7 млрд руб.


"
accountant,klerkru,🔥 У мобилизованных будут кредитные каникулы. Проект прошел первое чтение,2022-09-27 14:47:00,1129,https://www.klerk.ru/buh/news/536165/,"
	Призывники, оформившие кредиты до мобилизации, смогут получить по ним кредитные каникулы. Такие поправки были приняты на пленарном заседании в Госдуме в первом чтении.Такое же право будет и у иждивенцев мобилизованных. 	Когда закон примут, нужно обратиться в банк, чтобы заморозили платежи на время военной службы. Можно не отказываться от платежей, а попросить снизить их на время льготного периода.		Включить каникулы можно в любой момент в течение действия договора, но не позднее 31 декабря 2023 года. И только в том случае, если по этому кредиту отсрочка ранее не предоставлялась.	Также законопроект предусматривает полное или частичное прекращение обязательств по кредитам в случае гибели мобилизованного. Завтра проект будут рассматривать в окончательном чтении. И, скорее всего, примут.


"
accountant,klerkru,Бухгалтер онлайн-школы: что у вас проверят налоговики,2022-09-27 14:27:00,780,https://www.klerk.ru/buh/news/536159/,"
		В четверг в 15:00 мск начало трансляции.Коротко о программе: 		Форма регистрации онлайн-школы. Разница между ИП, ООО, самозанятым;Идеальная система налогообложения для онлайн-школы: ОСН, УСН, патент (только ИП), НПД;Отчетность для онлайн-школы; Прием платежей в интернете (Яндекс касса, Тинькофф интернет эквайринг, Робокасса, Яндекс деньги и т.д).		Бухгалтерский учет онлайн-школы.Записывайтесь сейчас, перед запуском мы пришлем ссылку.


"
accountant,klerkru,"ГИБДД узнает по камерам, был ли автомобиль в день проверки на пункте ТО",2022-09-27 14:00:00,972,https://www.klerk.ru/buh/news/536152/,"
	Если обнаружится нарушение, то диагностическую карту аннулируют, пишет «Ъ».	Карты оформляют по итогам прохождения техосмотра в информационной системе ЕАИСТО МВД.Фото машины и технического эксперта на пункте ТО обязательны для подтверждения подлинности прохождения техосмотра.	Если проверка обнаружит нарушения, карта ТО будет аннулирована.


"
accountant,klerkru,Мобилизованные и их семьи не платят пени за просроченные платежи по ЖКХ. Только что их от этого освободили,2022-09-27 13:52:00,687,https://www.klerk.ru/buh/news/536158/,"
	Госдума во втором и третьем чтениях приняла поправки в Жилищный кодекс РФ и отдельные законодательные акты.		Теперь мобилизованные граждане и члены их семей освобождены от пеней за просрочку оплаты услуг ЖКХ и взносов за капремонт.	Освобождение ввели не навсегда, а только на время контракта призванного.


"
accountant,klerkru,🚩 Призванные по ЧМ не потеряют свое рабочее место и должность. Госдума приняла поправки в ТК по трудовым правилам для мобилизованных,2022-09-27 13:42:00,2689,https://www.klerk.ru/buh/news/536156/,"
Законопроект с такими поправками в Трудовой кодекс Госдума приняла сегодня во втором и третьем чтении.	Об этих поправках мы уже рассказывали сегодня. Обобщим их в этой новости.	🔹 Мобилизованный сотрудник пишет заявление о приостановке трудового договора. Прикладывает к нему копию повестки. Работодатель издает приказ.	🔹 Работнику выплачивают зарплату и прочие выплаты (если они есть). Можно выплатить компенсацию отпуска за дни больше 28.	🔹 За сотрудником сохраняются все льготы (если они есть в компании) – например, страхование.	🔹 Приостановка договора идет в стаж для отпуска. Взять отпуск можно будет в течение 6 месяцев после возвращения в любое время.	🔹 О возвращении со службы работодателя надо предупредить за 3 дня.	🔹 Если через 3 месяца после дембеля сотрудник не вернется, его можно уволить.	Льготы будут и у членов семьи мобилизованных. О них читайте следом.


"
accountant,klerkru,Windows 11 для России теперь без обновлений. Microsoft их заблокировали,2022-09-27 13:31:00,1563,https://www.klerk.ru/buh/news/536150/,"
Обновление для Windows 11 под номером 22Н2 заблокировано Microsoft, так пишут «Известия».	Среди новых функций обновления было:		Улучшение меню «Проводник»;		Изменения интерфейса «Диспетчера задач»;	И некоторые другие изменения.	Microsoft официально прекратила деятельность в РФ с 4 марта 2022.


"
accountant,klerkru,Бизнес просит не брать налог на прибыль с доходов от конвертации валютных кредитов,2022-09-27 13:12:00,469,https://www.klerk.ru/buh/news/536151/,"
	Письмо с просьбой внести поправки в НК направлено в Госдуму и министерства, пишет РБК.	Конвертация валютных кредитов для подсанкционных сторон не является результатом свободного волеизъявления российских компаний, говорится в письме.		Доход возникает у тех заемщиков, которые брали в долг по курсу выше действующего на момент конвертации.	Им приходится платить налог на прибыль 20% от этой суммы. Бизнес просит, чтобы такой доход не учитывали в базе для налога на прибыль.


"
accountant,klerkru,Пилотам и инженерам гражданской авиации тоже могут дать отсрочку по мобилизации,2022-09-27 12:34:00,1607,https://www.klerk.ru/buh/news/536111/,"
	Минобороны уже дало принципиальное согласие на эту отсрочку, со ссылкой на свои источники пишут «Известия».		Вероятно, Минтранс по примеру Минцифры будет готовить список профессий, не подлежащих призыву по частичной мобилизации.	Профильная авиационная Ассоциация эксплуатантов воздушного транспорта ранее попросила Минтранс дать отсрочку от призыва всем сотрудникам системообразующих организаций авиации, авиаремонта и авиапрома. По закону летно-технический состав, а также рабочие и служащие авиационного и железнодорожного транспорта, непосредственно занятые в перевозках, обслуживании и ремонте, имеют бронь. Но на практике повестки им приходят.	Напомним, что и малый бизнес просит выделить квоты для учредителей и директоров.


"
