tag,site,header,date,views,link
business,kommersant,Путин подписал указ о создании нового оператора проекта «Cахалин-1»,2022-07-10 00:00:00,10000,https://www.kommersant.ru/doc/5605713
business,kommersant,Минпромторг сообщил о поэтапной остановке завода Vestas по производству ветряков в Ульяновске,2022-07-10 00:00:00,10000,https://www.kommersant.ru/doc/5605655
business,kommersant,Цены на газ в Европе падали на 14%,2022-07-10 00:00:00,10000,https://www.kommersant.ru/doc/5605661
business,kommersant,Цена Brent превысила $97 впервые с конца августа,2022-07-10 00:00:00,10000,https://www.kommersant.ru/doc/5605634
business,kommersant,«Северсталь» опровергла передачу доли Мордашова в пользу ООН,2022-07-10 00:00:00,10000,https://www.kommersant.ru/doc/5605615
business,kommersant,«Роскосмос» опубликовал снимок утечки газа на газопроводе в Балтийском море,2022-02-10 00:00:00,10000,https://www.kommersant.ru/doc/5593503
business,kommersant,Приоткрытое небо,2022-02-10 00:00:00,10000,https://www.kommersant.ru/doc/5593464
business,kommersant,RWE стала вторым в США производителем электричества из солнечной энергии,2022-02-10 00:00:00,10000,https://www.kommersant.ru/doc/5593419
business,kommersant,Новак допустил восстановление «Северных потоков»,2022-02-10 00:00:00,10000,https://www.kommersant.ru/doc/5593412
business,kommersant,Через пробоину в «Северном потоке-1» вышел весь газ,2022-02-10 00:00:00,10000,https://www.kommersant.ru/doc/5593402
business,kommersant,Филиппины обсуждают закупку российского топлива,2022-09-24 00:00:00,10000,https://www.kommersant.ru/doc/5580971
business,kommersant,Стратегический резерв нефти США сократился до самого низкого уровня с 1984 года,2022-09-24 00:00:00,10000,https://www.kommersant.ru/doc/5580955
business,kommersant,Байден поручил «оказать давление» на энергетическую отрасль для снижения цен на топливо,2022-09-24 00:00:00,10000,https://www.kommersant.ru/doc/5580951
business,kommersant,"Саудовская Аравия отрицает, что сокращает добычу нефти для причинения ущерба США",2022-08-10 00:00:00,10000,https://www.kommersant.ru/doc/5606052
business,kommersant,Bloomberg: Турция просит Россию об отсрочке газовых платежей до 2024 года,2022-03-10 00:00:00,10000,https://www.kommersant.ru/doc/5594165
business,kommersant,Трубу заткнуло депозитом,2022-03-10 00:00:00,10000,https://www.kommersant.ru/doc/5594105
business,kommersant,«Москвич» планирует открыть дилерские центры в 23 городах России,2022-03-10 00:00:00,10000,https://www.kommersant.ru/doc/5594138
business,kommersant,У Lada поубавилось покупателей,2022-03-10 00:00:00,10000,https://www.kommersant.ru/doc/5594109
