tag,site,header,date,views,link,text
none-core,ria,"Вводить санкции против России становится труднее, заявила премьер Эстонии ",2022-10-08,11,https://ria.ru/20221008/sanktsii-1822548879.html,"МОСКВА, 8 окт - РИА Новости. Евросоюзу становится все труднее вводить новые санкции против России, заявила премьер-министр Эстонии Кая Каллас британской газете Telegraph.Также она отметила, что ЕС все тяжелее сохранять единство в вопросе санкций.ЕС в четверг ввел в действие восьмой пакет антироссийских санкций, который включает как новые экономические ограничения, так и расширенные списки персональных санкций. В числе экономических санкций значится введение законодательной основы для определения потолка цен в отношении морских перевозок российской нефти в третьи страны. Планируется, что лимит цен будет введен 5 декабря для нефти и 5 февраля 2023 года - для нефтепродуктов.Запад усилил санкционное давление на Россию из-за Украины, что привело к росту цен на электроэнергию, топливо и продукты питания в Европе и США. Путин ранее заявлял, что политика сдерживания и ослабления России - это долгосрочная стратегия Запада, а санкции нанесли серьезный удар по всей мировой экономике. По его словам, основная цель Запада - ухудшить жизнь миллионов людей. В РФ не раз заявляли, что Россия решит все проблемы, которые ей создает Запад."
none-core,ria,Итальянец получил по ошибке семь килограммов галлюциногенов ,2022-10-08,282,https://ria.ru/20221008/gallyutsinogeny-1822548744.html,"РИМ, 8 окт – РИА Новости. Житель итальянской Болоньи по ошибке получил коробку с 7 килограммами растительного сырья, содержащего сильнодействующее наркотическое вещество диметилтриптамин, сообщила Corriere di Bologna.В минувший четверг итальянец ждал курьера, который должен был доставить ему пару заказанной в интернете обуви. Тот оставил у него дома две коробки вместо одной: во второй посылке оказались 13 свертков с ""субстанцией растительного происхождения темно-зеленого цвета"". Заподозрив неладное, мужчина отнес их в полицию.Как сообщается в заметке, диметилтриптамин является основой природного галлюциногена, используемого коренными народами бассейна реки Амазонки, где его принимают в виде напитка под названием аяуаска.Полицейские выяснили, что посылка предназначалась жителю Великобритании, а на Апеннины прибыла из-за ошибки почтовой службы. Полиция изъяла груз в ожидании результатов начатой проверки."
none-core,ria,В центре Донецка при обстреле повреждено офисное здание ,2022-10-08,249,https://ria.ru/20221008/obstrel-1822548606.html,"ДОНЕЦК, 8 окт - РИА Новости. Офисное здание на улице Артема повреждено в центре Донецка из-за обстрела, передаёт корреспондент РИА Новости.Также в этом здании находились магазины, у которых выбило витрины.Воронка от снаряда образовалась на проезжей части улицы. Пострадавших, по предварительной информации, нет. Ранее представительство ДНР в СЦКК сообщило, что украинские войска выпустили снаряд калибром 155 миллиметров по центральному Ворошиловскому району Донецка. Взрыв был хорошо слышен в центре города.По данным СЦКК, в результате обстрела также поврежден жилой дом на улице Артема."
none-core,ria,"WP: одна из стран Европы ""неприлично наживается"" на украинском конфликте ",2022-10-08,2333,https://ria.ru/20221008/evropa-1822548436.html,"МОСКВА, 8 окт — РИА Новости. Западные эксперты пристыдили Норвегию за ""агрессивное"" обогащение на украинском конфликте, пишет обозреватель The Washington Post Эмили Раухала.Как отмечается в статье, по мере нарастания энергетического кризиса, усугубившегося после обострения ситуации в Восточной Европе, эта скандинавская страна стала играть все более заметную роль в топливной безопасности континента.Вместе с тем Осло ""неприлично"" наживается на ЕС, считают критики. В этом году королевство получит 109 миллиардов долларов от нефтяного сектора — на 82 миллиарда больше, чем в прошлом. Большая часть суммы пойдет в суверенный фонд национального благосостояния, который уже преодолел отметку в триллион долларов.Норвежские власти, в свою очередь, отвергают все обвинения в спекуляциях и заявляют, что цена на ресурс неизбежно высокая из-за дефицита на рынке.После начала Россией специальной операции по освобождению Донбасса западные страны ввели санкции против Москвы. Это погрузило Европу в экономический и энергетический кризис, привело к росту цен на топливо и продукты питания. Ситуацию усугубила также остановка основного российского газопровода, снабжавшего континент. Экспорт газа по ""Северному потоку"" полностью прекратился в конце августа из-за неисправности ключевой турбины на компрессорной станции ""Портовая"". В России отметили, что газоперекачивающие агрегаты Siemens не удастся отремонтировать из-за санкционных мер.В конце сентября на магистралях ""Северных потоков"" произошли теракты. Германия, Дания и Швеция не исключили целенаправленную диверсию. Оператор Nord Stream AG сообщил, что ЧП на газопроводах беспрецедентны и сроки ремонта оценить невозможно. Российская Генпрокуратура возбудила уголовное дело об акте международного терроризма. Однако министр иностранных дел Дании Йеппе Кофод заявил о решительном настрое правительства отказать Москве в участии в расследовании произошедшей диверсии."
none-core,ria,ВСУ выпустили снаряд натовского калибра по Ворошиловскому району Донецка ,2022-10-08,338,https://ria.ru/20221008/obstrel-1822548277.html,"ДОНЕЦК, 8 окт - РИА Новости. Украинские войска выпустили снаряд калибром 155 миллиметров по центральному Ворошиловскому району Донецка, заявило представительство ДНР в Совместном центре по контролю и координации вопросов, связанных с военными преступлениями Украины (СЦКК).Как ранее передавал корреспондент РИА Новости, сильный хлопок раздался в центре Донецка.""Зафиксирован обстрел со стороны ВФУ (вооруженных формирований Украины) по направлению: 23.04 - населенный пункт Нетайлово – город Донецк (Ворошиловский район): выпущен один снаряд калибром 155 миллиметров"", - сообщило представительство в Telegram-канале.Артиллерия калибром 155 миллиметров применяется странами НАТО. США поставили Киеву дальнобойные гаубицы M-777 калибром 155 миллиметров, украинские войска активно используют их для обстрела городов Донецкой и Луганской Народных Республик. Также киевским войскам были поставлены немецкие самоходные артиллерийские установки PzH 2000, польские САУ Krab и французские САУ CAESAR, использующие снаряды такого калибра."
none-core,ria,"Приехавших на пароме из Крыма в порт ""Кавказ"" бесплатно отвезут до гостиниц ",2022-10-08,294,https://ria.ru/20221008/anapa-1822547928.html,"МОСКВА, 8 окт - РИА Новости. АНО ""Единая транспортная дирекция"" бесплатно доставляет до гостиниц пассажиров, которые следовали на поездах в Крым и прибыли на железнодорожный вокзал Анапы, а также организует трансфер для тех, кто прибудет из Крыма в порт Кавказ, сообщает Минтранс РФ.По данным маршрутам организована доставка порядка двух тысяч пассажиров в обе стороны.Ранее в субботу Национальный антитеррористический комитет (НАК) сообщил, что на Крымском мосту ранним утром 8 октября произошел подрыв грузового автомобиля, повлекший возгорание семи топливных цистерн железнодорожного состава. Произошло частичное обрушение двух автомобильных пролетов моста. Арка над его судоходной частью не повреждена, указали в НАК. По предварительным данным СК РФ, в результате взрыва погибли три человека."
none-core,ria,В центре Донецка раздался сильный хлопок ,2022-10-08,4105,https://ria.ru/20221008/donetsk-1822547550.html,"ДОНЕЦК, 8 окт - РИА Новости. Сильный хлопок раздался в центре Донецка, передаёт корреспондент РИА Новости.В воздухе появился характерный запах пороха. Был ли это ""прилёт"" или сработала система ПВО, пока неизвестно."
none-core,ria,"Спецоперация, 8 октября: на Крымском мосту произошел взрыв ",2022-10-08,4618,https://ria.ru/20221008/spetsoperatsiya-1822546978.html,"МОСКВА, 8 окт - РИА Новости. На Крымском мосту произошёл подрыв грузового автомобиля, предположительно, за этим стоял Киев. Движение железнодорожного и пассажирского автотранспорта по мосту к вечеру было восстановлено.Кроме того, несколько терактов было предотвращено спецслужбами на территории ЛНР и Херсонской области.Российские системы ПВО за минувшие сутки сбили 21 снаряд украинских РСЗО HIMARS, ракету ""Точка-У"", а также 12 беспилотников, сообщили в субботу в пресс-службе Минобороны РФ.Кроме того, российская ПВО сбила 12 украинских дронов, в том числе один ""Байрактар-ТБ2"", в Николаевской, Херсонской, Харьковской областях, ДНР и ЛНР.ВС РФ отразили атаку трех украинских батальонных тактических групп, танкового батальона и батальона нацгвардии на Николаево-Криворожском направлении - уничтожено более 240 украинских военных, 12 танков, 14 бронемашин, 8 единиц автомобильной техники и 4 артиллерийских орудия, заявили в Минобороны России.Российские ракетные войска и артиллерия, а также оперативно-тактическая и армейская авиация уничтожили четыре склада с боеприпасами и узел связи украинских военных.Вооруженные силы России уничтожили в Харьковской области более 220 украинских военных.Кроме того, отметили в ведомстве, в результате массированных ударов по выдвигавшимся резервам противника в районе населённого пункта Петропавловка Харьковской области, уничтожено более 110 украинских военнослужащих 14-й механизированной бригады и 19-го батальона теробороны.Киевский режим в течение суток дважды обстрелял Энергодар и территорию, прилегающую к Запорожской АЭС, всего было выпущено 15 ракет, ответным огнем российская артиллерия подавила огневые средства противника, радиационная обстановка на ЗАЭС в норме, сообщило министерство обороны РФ.Ответным огнем российской артиллерии огневые средства противника были подавлены, добавляет МО РФ.Резервные дизель-генераторы задействованы для обеспечения работы Запорожской АЭС после того как ЛЭП, обеспечивающая электроэнергией собственные нужды атомной станции, вышла из строя после обстрела украинскими реактивными снарядами, добавили в ведомстве.ВС РФ отразили украинскую контратаку на Южно-Донецком направлении, уничтожив более 90 военных противника, два танка, восемь бронемашин и шесть автомобилей.Министр обороны РФ Сергей Шойгу назначил командующим группировкой сил в зоне специальной военной операции генерала армии Сергея Суровикина.Национальный антитеррористический комитет (НАК) сообщил, что на Крымском мосту ранним утром 8 октября произошел подрыв грузового автомобиля, повлекший возгорание семи топливных цистерн железнодорожного состава. Произошло частичное обрушение двух автомобильных пролетов моста. Арка над его судоходной частью не повреждена, указали в НАК. По предварительным данным СК РФ, в результате взрыва погибли три человека.Служба безопасности Украины (СБУ) заявила, что не комментирует информацию в СМИ о причастности к взрыву на Крымском мосту, однако ранее в СМИ сообщалось, что по данным их источника в правоохранительных органах Украины, за взрывом на мосту стоит СБУ.В тот же день советник главы офиса Владимира Зеленского Михаил Подоляк заявил, что ЧП на Крымском мосту - это ""начало"", СБУ обнародовала фото с моста в момент ЧП, подписав его перефразированными строками Тараса Шевченко, а украинское минобороны опубликовало пост в Twitter, где прослеживает цепь российских потерь начиная с крейсера ""Москва"". Позднее глава МИД Эстонии Урмас Рейнсалу приветствовал взрыв на Крымском мосту, предположив, что за этим стоит украинский спецназ.Реакция украинского режима на взрыв на Крымском мосту говорит о том, что за организацией атаки стоит именно Киев, сообщил лидер ЛДПР Леонид Слуцкий.Позднее бывший министр внутренних дел Украины Арсен Аваков признался, что заранее знал об ударе по инфраструктуре Крыма, разместив в своем Telegram-канале видео от 4 октября, в котором говорит, что руины Крымского моста будут ""весьма живописны"", и добавил, что спустя три дня ""горит"".После произошедшего на Крымском мосту настало время уничтожать инфраструктуру киевского неонацистского режима, заявил лидер партии ""Справедливая Россия - За правду"" Сергей Миронов.Уполномоченный по правам человека в России Татьяна Москалькова назвала повреждение Крымского моста попыткой отнять у людей право на передвижение.Президент России Владимир Путин возложил на ФСБ полномочия по организации и координации мер защиты транспортного перехода через Керченский пролив, а также подписал указ об усилении мер защиты транспортного перехода, электросетевого энергомоста и магистрального газопровода, сообщает пресс-служба Кремля.Высокий (""желтый"") уровень террористической опасности в северных районах Крыма и на объектах инфраструктуры продлен до 23 октября, сообщил глава республики Сергей Аксенов. Желтый"" уровень террористической опасности введен в Темрюкском районе Краснодарского края после ЧП на Крымском мосту, заявил журналистам глава региона Вениамин Кондратьев.Глава Чечни Рамзан Кадыров заявил, что чеченские росгвардейцы готовы выдвинуться в Краснодарский край и Республику Крым для контроля движения и досмотра транспорта, передвигающегося по Крымскому мосту.Кроме того, спецслужбы в субботу предотвратили теракт в отделении ПромСвязьБанка в центре Херсона, который готовил Киев, сообщил журналистам представитель экстренных служб региона. Сотрудники спецслужб предотвратили теракт в городе Скадовске в Херсонской области, обезвредив самодельное взрывное устройство, начиненное поражающими элементами, обнаруженное возле административного здания, сообщил в субботу журналистам представитель экстренных служб области.Спецслужбы Луганской Народной Республики задержали диверсионно-разведывательную группу украинских силовиков, планировавшую серию терактов, в том числе подрыв детских садов, сообщил РИА Новости источник в силовых структурах.Против России ведется война и террор, нужно отвечать адекватно и действенно, заявил ответственный секретарь Совета по правам человека (СПЧ) при президенте России Александр Точенов.Лидер фракции ЛДПР Леонид Слуцкий предложил учредить два трибунала над украинскими террористами на территории новых субъектов РФ, один - в Донецке или Луганске, второй - в Крыму, Херсоне или Запорожье, сообщается в официальном Telegram-канале партии.Поступающие от США сигналы в контексте происходящего на Украине сочетают провокационную воинственность и намеки на возможность диалога, заявила официальный представитель МИД России Мария Захарова. При этом она отметила, что реальные шаги американцев и их сателлитов кардинально противоречат претендующей на миролюбие показной риторике.Раннее глава американского внешнеполитического ведомства Энтони Блинкен публично обозначил готовность США к ""дипломатии с Россией по Украине"".Лидер парламентской фракции СДПГ Рольф Мютцених предостерег от ядерной эскалации войны на Украине и призвал власти ФРГ выступить с дипломатическими инициативами, чтобы прекратить конфликт.Он призвал министра иностранных дел Анналену Бербок выступить с новыми дипломатическими инициативами вместе с администрацией США. По его словам, уже некоторое время американское правительство, похоже, снова готово изучать ""решения по прекращению войны путем переговоров"".Владимир Зеленский во время выступления на Черногорском форуме безопасности призвал страны ЕС и в частности Балканы начать курс ""независимости от России"" в политике, экономике и энергетике, укрепляя свое сотрудничество."
none-core,ria,Хуснуллин поручил составить план-график по восстановлению Крымского моста ,2022-10-08,603,https://ria.ru/20221008/vosstanovlenie-1822546726.html,"МОСКВА, 8 окт - РИА Новости. Вице-премьер РФ Марат Хуснуллин сообщил, что дал поручение в течение суток составить план-график восстановительных работ на Крымском мосту.Вице-премьер также заявил, что будет ежедневно проводить заседание штаба по восстановлению Крымского моста, оперативно решать все возникающие вопросы.""Буду ежедневно проводить заседание штаба и оперативно решать все вопросы"". - добавил Хуснуллин."
none-core,ria,Киев утвердил программу по закупке дров и буржуек к отопительному сезону ,2022-10-08,2083,https://ria.ru/20221008/drova-1822546407.html,"МОСКВА, 8 окт - РИА Новости. Кабмин Украины утвердил программу о закупке дров и мобильных металлических печей, называемых ""буржуйками"", для прифронтовых регионов, на что предусмотрено 563 миллионов гривен ($15,2 миллиона), заявил в субботу премьер-министр Украины Денис Шмыгаль.По его словам, речь идет об общинах в Донецкой, Днепропетровской, Черниговской, Харьковской, Сумской, Херсонской, Николаевской и Запорожской областях, поскольку эти области находятся под угрозой повторного повреждения инфраструктуры из-за боевых действий. Он отметил, что принятые меры необходимы, если ""коммунальщики не успеют восстановить отопительную инфраструктуру"".Ранее мэр Львова Андрей Садовой записал видеообращение к жителям города, в котором призвал заранее готовиться к аномальным ситуациям во время отопительного сезона и посоветовал запасаться дровами. Он заверил, что власти города закупают в большом количестве буржуйки как ""единственное, что может остаться, если другое не работает"".Ранее глава правления НАК ""Нафтогаз Украины"" Юрий Витренко заявил, что уже в следующем отопительном сезоне планируется отказаться полностью от газа для централизованного отопления и перейти на отопление биомассой и мусором."
